id,price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,host_response_rate,host_since,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
18823930,485.98,Villa,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",6,1,Real Bed,moderate,TRUE,LA,t,90%,06-12-2013 0:00,Harbor Gateway,27,93,90501,2,2
15523281,598.9,Villa,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Pool,Kitchen,""Free parking on premises"",Gym,Breakfast,""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Private entrance""}",4,1,Real Bed,strict,TRUE,LA,f,100%,20-05-2014 0:00,,5,88,90704,1,2
19698509,741.76,Villa,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",8,4,Real Bed,super_strict_60,TRUE,LA,t,100%,05-01-2015 0:00,,0,,90277,4,4
12497464,431.75,Apartment,Private room,"{""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector""}",2,1,Real Bed,moderate,TRUE,NYC,t,,14-01-2014 0:00,Crown Heights,2,80,11238,1,1
17764793,469.13,Villa,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,""Pets live on this property"",Dog(s),""Free parking on street"",""Hot tub"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,TRUE,LA,t,100%,02-11-2012 0:00,Topanga,6,100,91364,1,1
11136854,485.2,Villa,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",""Doorman Entry""}",6,1,Real Bed,strict,TRUE,LA,t,100%,12-08-2014 0:00,Temple City,28,96,91780,2,4
15754561,482.83,Apartment,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace""}",4,1,Real Bed,moderate,TRUE,NYC,f,100%,07-06-2017 0:00,Bedford-Stuyvesant,0,,11216,1,1
4471474,313.55,House,Shared room,{},1,1,Real Bed,flexible,TRUE,LA,t,100%,20-12-2013 0:00,,0,,91405,1,1
13207484,368.89,House,Shared room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Couch,strict,TRUE,LA,t,25%,05-12-2016 0:00,Hollywood,0,,90028,1,1
7837072,336.73,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,FALSE,LA,f,98%,02-07-2017 0:00,,0,,91770,1,1
7823396,417.44,House,Private room,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Long term stays allowed"",""Wide doorway"",""Flat, smooth pathway to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}",2,1,Real Bed,moderate,TRUE,NYC,f,100%,27-05-2015 0:00,Richmond Hill,74,96,11419,1,1
7966742,423.41,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,strict,TRUE,NYC,t,100%,27-06-2012 0:00,Bedford-Stuyvesant,18,89,11221,1,1
257568,389.18,House,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}",3,1,Real Bed,strict,TRUE,NYC,t,100%,20-04-2013 0:00,Astoria,246,90,11106,1,1
18073864,482.83,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_50""}",4,2,Real Bed,flexible,TRUE,LA,t,100%,27-09-2012 0:00,,10,90,91302,2,2
13667633,541.61,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",5,2,Real Bed,flexible,TRUE,LA,t,100%,08-05-2015 0:00,Westchester/Playa Del Rey,8,94,90045,2,2
590903,662.01,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Private entrance""}",6,2,Real Bed,moderate,TRUE,LA,t,100%,01-03-2015 0:00,Mid-Wilshire,2,100,90048,3,3
19161964,391.2,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",""Free parking on premises"",""Hot tub"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Shampoo,""Hair dryer"",Iron}",1,1,Real Bed,flexible,TRUE,LA,f,,14-07-2016 0:00,,0,,90650,1,1
19475815,470.05,House,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",Breakfast,Heating,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room""}",2,1,Real Bed,moderate,TRUE,NYC,t,60%,14-11-2015 0:00,Astoria,4,93,11106,1,1
1407841,412.71,House,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,TRUE,LA,t,100%,27-05-2016 0:00,Mar Vista,18,99,90066,1,1
1535628,407.75,House,Private room,"{""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,2,Real Bed,moderate,TRUE,NYC,f,100%,10-03-2016 0:00,Hunts Point,4,100,10474,1,1
6888244,501.06,House,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Bed linens"",""Extra pillows and blankets""}",2,2,Real Bed,strict,TRUE,NYC,t,100%,25-03-2011 0:00,Carroll Gardens,8,83,11231,1,1
8889145,539.36,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials}",4,2,Real Bed,moderate,TRUE,LA,t,,06-01-2012 0:00,Studio City,0,,91604,2,2
15073872,474.49,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Gym,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Real Bed,flexible,FALSE,LA,t,100%,06-03-2013 0:00,Studio City,6,100,91604,1,1
10174146,695.65,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Shampoo}",9,4,Real Bed,moderate,TRUE,LA,t,83%,09-08-2015 0:00,,1,100,90048,5,5
12600300,424.85,House,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}",4,2,Real Bed,strict,TRUE,NYC,f,99%,06-05-2017 0:00,Flushing,12,93,11355,1,2
62427,667.83,Villa,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",""Doorman Entry""}",12,4,Real Bed,strict,TRUE,LA,t,100%,28-09-2011 0:00,Topanga,32,99,90290,4,4
5447656,417.44,House,Private room,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron}",2,1,Real Bed,flexible,TRUE,DC,t,100%,25-03-2011 0:00,Logan Circle,7,97,20005,1,1
2974433,529.33,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",4,1,Real Bed,strict,FALSE,LA,t,100%,28-11-2011 0:00,Long Beach,109,97,90803,1,1
17010314,430.41,House,Private room,"{""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,TRUE,LA,t,100%,06-03-2013 0:00,,33,99,91506,1,1
20167264,385.01,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,1,Real Bed,flexible,TRUE,Boston,t,100%,06-03-2013 0:00,Dorchester,220,98,2125,1,1
4156913,570.38,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace""}",6,2,Real Bed,moderate,TRUE,NYC,f,100%,30-05-2016 0:00,The Rockaways,2,100,11509,4,5
11993790,602.83,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Children??s books and toys"",""Fireplace guards"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",7,2,Real Bed,strict,TRUE,NYC,f,100%,06-05-2017 0:00,Windsor Terrace,0,,11218,5,5
10989476,455.39,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens""}",2,1,Real Bed,moderate,TRUE,SF,t,100%,20-04-2013 0:00,Bernal Heights,28,98,94110,1,1
7939396,459.51,Villa,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",""24-hour check-in"",Hangers,""Hair dryer""}",6,1,Real Bed,strict,TRUE,LA,t,91%,16-01-2014 0:00,Long Beach,120,89,90803,2,3
17840858,529.83,House,Private room,"{""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,""Hot tub"",Heating,""Smoke detector"",Essentials}",2,1,Real Bed,moderate,TRUE,LA,f,,10-03-2015 0:00,Mid-Wilshire,0,,90048,1,1
2444713,506.89,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,TRUE,LA,t,100%,20-06-2014 0:00,Echo Park,117,98,90039,0,1
13276443,470.05,House,Private room,"{""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Shampoo}",2,1,Real Bed,flexible,FALSE,SF,t,,15-05-2013 0:00,Russian Hill,2,100,94109,1,1
19947454,459.51,Apartment,Private room,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,TRUE,LA,t,100%,14-04-2014 0:00,Westwood,10,98,90024,1,1
13653016,417.44,Other,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Smoking allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",""24-hour check-in""}",3,1,Real Bed,strict,FALSE,LA,f,100%,28-11-2016 0:00,,1,20,90731,1,1
20942873,480.4,Condominium,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",2,1,Real Bed,flexible,FALSE,LA,t,80%,13-09-2013 0:00,Santa Monica,28,96,90405,1,1
19583726,552.15,Condominium,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",4,2,Real Bed,moderate,FALSE,Boston,f,,08-06-2015 0:00,South Boston,15,97,2127,2,2
17196103,482.83,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Elevator in building"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Real Bed,moderate,TRUE,LA,t,89%,25-12-2009 0:00,Marina Del Rey,11,91,90292,1,1
9318115,680.13,House,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance""}",5,1,Real Bed,strict,TRUE,LA,f,100%,13-06-2016 0:00,Malibu,0,,90265,3,3
9937434,497.67,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}",2,1,Real Bed,strict,TRUE,LA,t,100%,23-03-2016 0:00,Hermosa Beach,1,60,90254,0,1
4454031,685.65,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",""Other pet(s)"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Hair dryer""}",6,2,Real Bed,moderate,TRUE,LA,t,100%,08-10-2014 0:00,,6,100,90266,4,4
16259866,361.09,House,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,FALSE,NYC,f,100%,11-01-2016 0:00,East New York,14,85,11208,1,1
20282225,507.52,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace""}",2,1,Real Bed,moderate,TRUE,Boston,f,100%,14-07-2014 0:00,Dorchester,1,100,2125,1,1
23269,519.3,Condominium,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Gym,""Pets live on this property"",""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,2,Real Bed,moderate,TRUE,LA,t,100%,29-11-2015 0:00,,10,100,90802,2,2
7637363,661.87,House,Entire home/apt,"{TV,""Wireless Internet"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}",8,3,Real Bed,strict,TRUE,LA,t,100%,12-01-2014 0:00,Manhattan Beach,5,96,90266,4,4
6391342,417.44,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Iron}",2,1,Real Bed,strict,TRUE,LA,f,100%,24-06-2014 0:00,Westlake,36,96,90005,1,1
11606802,455.39,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}",5,1,Real Bed,moderate,TRUE,LA,t,100%,22-06-2016 0:00,Westlake,45,97,90015,1,2
