user_id,occurred_at,event_type,event_name,location,device
2171,26-08-2014 7:29,engagement,send_message,United States,asus chromebook
6622,06-06-2014 10:08,engagement,search_click_result_8,United States,acer aspire notebook
12548,05-06-2014 13:46,engagement,login,Germany,nokia lumia 635
12540,16-05-2014 14:20,signup_flow,create_user,Russia,lenovo thinkpad
9876,04-07-2014 13:22,engagement,search_run,United States,samsung galaxy s4
8716,26-08-2014 10:28,engagement,search_autocomplete,France,iphone 5
8740,26-07-2014 9:39,engagement,search_autocomplete,United States,nexus 10
12688,11-07-2014 18:00,engagement,search_autocomplete,Germany,hp pavilion desktop
5109,23-08-2014 6:02,engagement,login,United States,dell inspiron desktop
6261,19-05-2014 13:39,engagement,login,India,iphone 5
11264,17-07-2014 17:53,engagement,view_inbox,Taiwan,lenovo thinkpad
5298,07-06-2014 18:28,engagement,home_page,Brazil,asus chromebook
14726,15-07-2014 12:08,engagement,home_page,United Kingdom,macbook pro
13433,26-07-2014 6:48,engagement,like_message,United States,dell inspiron notebook
264,30-05-2014 19:36,engagement,login,Venezuela,samsung galaxy s4
108,04-07-2014 21:48,engagement,login,Mexico,lenovo thinkpad
264,05-06-2014 9:23,engagement,login,Venezuela,dell inspiron desktop
251,29-07-2014 14:32,engagement,login,Argentina,ipad air
108,08-07-2014 7:43,engagement,login,Mexico,hp pavilion desktop
264,20-05-2014 17:46,engagement,login,Venezuela,dell inspiron desktop
251,06-08-2014 15:24,engagement,login,Argentina,macbook air
238,16-07-2014 14:28,engagement,login,Venezuela,samsung galaxy note
251,02-08-2014 10:47,engagement,login,Argentina,macbook air
108,21-07-2014 17:34,engagement,login,Mexico,hp pavilion desktop
12103,25-06-2014 11:10,engagement,like_message,Argentina,macbook pro
16170,23-08-2014 18:53,engagement,like_message,Argentina,macbook pro
12103,19-06-2014 19:45,engagement,home_page,Argentina,macbook pro
12103,25-06-2014 11:08,engagement,like_message,Argentina,macbook pro
16170,25-08-2014 13:32,engagement,home_page,Argentina,macbook pro
16170,22-08-2014 13:33,engagement,home_page,Argentina,macbook pro
16170,19-08-2014 11:07,engagement,login,Argentina,macbook pro
12103,25-06-2014 11:07,engagement,login,Argentina,macbook pro
12103,19-06-2014 19:47,engagement,home_page,Argentina,macbook pro
12103,18-06-2014 16:00,engagement,search_autocomplete,Argentina,macbook pro
