hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng
Via Napo Torriani 18 Central Station 20124 Milan Italy,384,10-12-2016 0:00,9.2,Hotel Berna,United Kingdom,The noise from other rooms and the hallway was rather noticeable,13,4017,I loved the wonderful service I received here the room was very comfortable with a lovely big bath and a rubber duckie The staff were very helpful and friendly The hotel is very close to the main train station and there was no street noise despite being in a busy part of town,55,23,9.6,"[' Leisure trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 4 nights ']",236 day,45.483,9.203
Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,757,26-04-2017 0:00,8.7,WestCord Fashion Hotel Amsterdam,United Kingdom,cleaning staff took no notice of do not disturb signe on door and twice attempted to enter room with out knocking,22,5236,No Positive,0,6,7.9,"[' Solo traveler ', ' Large Double Room ', ' Stayed 4 nights ']",99 days,52.358,4.845
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,22-09-2015 0:00,8.4,The Grosvenor,France,Toilet didn t flush properly Room a bit noisy could hear the train annoucements from nearby station,18,3274,No Positive,0,1,6.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",681 day,51.496,-0.145
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,08-10-2015 0:00,7.5,The Cumberland A Guoman Hotel,United States of America,Noise,2,5180,Location,2,21,7.5,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",665 day,51.515,-0.161
Via Gian Battista Pirelli 20 Central Station 20124 Milan Italy,283,08-12-2016 0:00,8.7,LaGare Hotel Milano Centrale MGallery by Sofitel,Singapore,Staff is just so so but not too bad,10,2678,Everything is nice,5,10,9.2,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",238 day,45.484,9.199
Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,587,24-07-2016 0:00,7.4,Best Western Blue Tower Hotel,Kuwait,The AC was not working They promised me to fix it but they did that the next day My children could not sleep the whole night because the room was hot,32,3869,No Positive,0,20,4.6,"[' Leisure trip ', ' Family with young children ', ' Standard Quadruple Room ', ' Stayed 2 nights ']",375 day,52.379,4.846
Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,278,12-03-2017 0:00,8.4,Dikker en Thijs Fenice Hotel,United Kingdom,No Negative,0,1971,Excellent location Great breakfast lots of choice Room large comfortable with great view Helpful friendly staff Tram right outside Couldn t have got a better hotel Good value too,31,4,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room with canal view ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",144 day,52.365,4.884
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,30-11-2016 0:00,8.7,St James Court A Taj Hotel London,United Kingdom,Initially we were over run with staff x three asking if we were comfortable dinner once served was lovely perfectly cooked The restaurant staff were too quick to clear the table away and clearly wanted us out of the restaurant though it was only 9 30pm we were the last people in the restaurant but even so When filling glasses the waitress continually only topped up one of the glasses when two of were drinking wine Requested water which arrived and was placed on the side but rarely did the waitress top up the water glasses the Spa closed too early,102,5394,No Positive,0,1,7.1,"[' Family with young children ', ' Classic Twin Room ', ' Stayed 1 night ']",246 day,51.499,-0.138
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,16-01-2016 0:00,7.8,Holiday Inn London Kensington,United Kingdom,Would have been better if everthing wasn t extra surcharge to use the pool surchaege for wi fi etc Luggage rack in room would have been handy,29,5945,Already recommended the hotel to friends going to London soon Great base oppulent feel without the price tag,20,2,10,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",565 day,51.5,-0.193
One Ham Yard Westminster Borough London W1D 7DT United Kingdom,96,04-02-2016 0:00,9.5,Ham Yard Hotel,United Kingdom,No Negative,0,314,Staff and the Honesty Bar,7,5,10,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",546 day,51.511,-0.135
Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,31-07-2017 0:00,8.2,NH City Centre Amsterdam,India,Be careful about the superior view facing rooms being advertised They are very small with a queen bed and if u r carrying 2 to 3 pieces of luggage just not enough space I had to change my room once i saw them which costed me more,49,3417,Nice Restaurant with good breakfast spread Nice Location,10,6,6.3,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room with View ', ' Stayed 3 nights ']",3 days,52.37,4.889
60 Hyde Park gate Kensington and Chelsea London SW7 5BB United Kingdom,72,30-01-2016 0:00,9,Baglioni Hotel London The Leading Hotels of the World,Switzerland,No Negative,0,290,Very friendly staff Rooms clean but not exactly sunlit Comfortably situated near Kensington Gardens It takes a ten minute walk to the next tube station Probably not quite a five star hotel but perhaps the most relaxed and welcoming accomodation in London,44,28,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",551 day,51.502,-0.185
Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,272,02-04-2016 0:00,8.1,Amadi Park Hotel,United Kingdom,the breakfast could be better with more choices,9,1615,very clean and comfortable environment,6,10,9.2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",488 day,52.365,4.873
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,14-03-2017 0:00,7.1,Britannia International Hotel Canary Wharf,United Kingdom,Everything was good,4,9086,Good location friendly,4,9,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",142 day,51.502,-0.023
2 The Avenue Ealing London W13 8PH United Kingdom,187,15-09-2016 0:00,8.8,The Drayton Court Hotel,United Kingdom,Card keys un reliable receptionist missing when needed,9,750,Good AC comfy chairs in room secondary glazing to reduce noise,12,3,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",322 day,51.514,-0.319
8 10 Rue F licien David 16th arr 75016 Paris France,134,11-07-2016 0:00,7.5,Auteuil Tour Eiffel,Turkey,Front office do not know mathematics,8,1266,Location,2,29,7.5,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 1 night ']",388 day,48.851,2.275
Albany Street London NW1 3UP United Kingdom,354,28-12-2016 0:00,8.3,Melia White House Hotel,United Kingdom,2 faults in bathroom reported on arrival but still not fixed 4 days later,15,1871,Mattress topper orthopaedic pillows made bed comfortable Staff friendly helpful,11,2,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ']",218 day,51.53,-0.144
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,12-03-2016 0:00,8.1,Strand Palace Hotel,Guernsey,Nothing really,4,9568,Very good breakfast Helpful reception staff Charming doormen,10,1,8.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']",509 day,51.511,-0.121
54 Queens Gate Kensington and Chelsea London SW7 5JW United Kingdom,161,21-05-2017 0:00,8.2,Fifty Four Boutique Hotel,Australia,TV wasn t working so they changed our room the new room didn t have a bath and had to go up and down stairs to elevator,28,684,the location,3,2,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",74 days,51.496,-0.18
Gran Via 550 Eixample 08011 Barcelona Spain,167,03-05-2016 0:00,8.8,Hotel Vueling Bcn by HC,Tunisia,No Negative,0,1696,The bed is so comfortable and the hotelderly is very clean The staff is so friendly,17,1,10,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",457 day,41.383,2.16
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,15-04-2017 0:00,8.7,St James Court A Taj Hotel London,Australia,The air con control was uncertain,8,5394,Excellent location great service helpful staff,8,5,10,"[' Leisure trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",110 day,51.499,-0.138
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,19-07-2016 0:00,8.2,Ramada Apollo Amsterdam Centre,China,Dirty poor staff service,6,5770,Very poor hotel only two star,8,3,2.5,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room with Parking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",380 day,52.368,4.844
9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,107,18-09-2016 0:00,9,Hotel Moonlight,United Kingdom,It s very hard to answer this part The overall impression is extremely good and in truth the experience doesn t detract from this But there are little niggles such as the noise in the room at night not from just outside but internally The noise the fridge makes yes it s good to have one The length of time the loo takes to finish its flushing procedure and refill lengthy and quite noisy I could not get the TV to work using the remotes and even the guy that was kindly sent up to help couldn t get it to work other than a few stations manually These after a few hours turned the whole system off and I couldn t restart it The light coming in under the door from the public area the very bright green security light The bathroom whilst well thought through for such a small confined area if one is anything over about 5 5 max they are going to find it very cramped Would I stay again I don t know If my decision was based on the staff and initial appearance yes I would If one were to look into the finer points as I ve laid out probably no,210,617,The overall impression was very good It s is new and well decorated Staff were really very efficient and helpfull,21,41,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",319 day,51.494,-0.191
Apollolaan 138 Oud Zuid 1077 BG Amsterdam Netherlands,168,02-01-2017 0:00,8.3,Hilton Amsterdam,Germany,There were no additional blankets in the wardrobe,9,1064,No Positive,0,2,9.6,"[' Leisure trip ', ' Couple ', ' Twin Deluxe Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",213 day,52.351,4.873
Via Luigi Galvani 12 Central Station 20124 Milan Italy,143,29-05-2017 0:00,8.2,Hilton Milan,Australia,No Negative,0,988,The room was nice and quiet and the staff knowledgeable and friendly,14,1,10,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",66 days,45.486,9.2
Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,27-06-2017 0:00,8.4,DoubleTree By Hilton London Excel,United Kingdom,Phone in room not working No robes in room No option of nutrition free cookies Area around hotel vety derelict,21,2726,Good breakfast selection,4,1,5.4,"[' Leisure trip ', ' Group ', ' Queen Guest Room with Sofa Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",37 days,51.507,0.039
Pallars 128 130 Sant Mart 08018 Barcelona Spain,252,21-05-2016 0:00,7.9,Sall s Hotel Pere IV,New Zealand,I stayed at Salles Hotel Pere IV with my family from the 16th of May to the 20th A few days ago I sent a request to the hotel through booking com for an extra bed Even though the request came through confirmed by booking com we were told at the hotel that they hadn t recieve any of such matter It was on short notice so I guess it was understandable We were asked to pay an extra 140 euros 35 extra for 4 nights and we agreed to it When we checked out we saw that the price was a bit higher than expected Never thinking a 4 star hotel would do such a thing we only gave the hotel receipt a quick look didn t notice they had charged us 40 euros per night for our extra guest and not 35 So that s a 20 euros burn on our side and plus on theirs I would recommend everyone to not make the same mistake as we did and allow this happen to you Definitely not worth staying and I won t be returning there next time I visit Barcelona,195,3130,No Positive,0,1,2.5,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room with Spa Access ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",439 day,41.397,2.192
Manor Road London IG8 8AE United Kingdom,227,30-09-2016 0:00,6.9,Hallmark Hotel London Chigwell Prince Regent,United Kingdom,There was confusion when I booked in as reception hadn t recieved acted on the Booking com reservation Luckily there was a room available,26,747,Location,2,4,7.9,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",307 day,51.607,0.059
152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,02-03-2016 0:00,8,Clayton Crown Hotel London,United Kingdom,No Negative,0,2491,Very clean friendly staff stayed several times fab breakfast pub and restaurant in situ and a swimming pool bus outside to take you in to Oxford st,29,2,9.6,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double and Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",519 day,51.556,-0.214
Praterstra e 1 02 Leopoldstadt 1020 Vienna Austria,137,04-01-2016 0:00,9,Sofitel Vienna Stephansdom,Turkey,No Negative,0,1148,The personnel was very helpful and great location Book forward for the roof restaurant,16,6,8.8,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 4 nights ']",577 day,48.213,16.38
41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,66,23-02-2016 0:00,9.6,41,Czech Republic,No Negative,0,244,The lounge Lauren the room top in London,10,10,10,"[' Leisure trip ', ' Couple ', ' Executive King Room with Lounge Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",527 day,51.498,-0.144
Hobbemakade 50 Oud Zuid 1071 XL Amsterdam Netherlands,141,05-12-2016 0:00,8,NH Amsterdam Museum Quarter,Lebanon,No Negative,0,854,Every things,3,2,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",241 day,52.356,4.886
Santa Rosa Esplugues 33 08950 Barcelona Spain,72,17-07-2017 0:00,7.9,Abba Garden,Greece,Our bedsheets and cushion covers were not changed for 5 days we had to ask for it the personnel was not that polite they even took our yogurt before we ate it because the breakfast area was closing there were not informed that we had prepaid our accommodation as well as our breakfast and we had to show the e mail exchanges we had The swimming pool area as well as the restaurant area could be open especially during summer at least until 00 00am since there is nothing around to have a drink or dinner The kitchen of the restaurant was closed at 23 00pm Can understand though above issues due to a high season period b that the same people preparing the breakfast they had reception duties and c cleaning duties etc,136,959,The room is very comfortable very clean the breakfast is fabulous the swimming pool very clean the location is very nice despite the fact that it s far away from the city center there is a bus stop in 50 meters from the hotel that drives you downtown in 20 minutes or you can walk around 15 minutes through a beautiful park and get the metro Ms Amaia helped us a lot and assisted us immediately with our payments emails that needed to be printed etc The food at the restaurant was really very nice very nice sangria and cocktails,102,4,8.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 5 nights ']",17 days,41.385,2.102
Boquer a 10 Ciutat Vella 08002 Barcelona Spain,392,30-06-2016 0:00,8.5,Petit Palace Boqueria Garden,United Kingdom,Nothing obvious,3,3602,Superb location but it was wonderful staff who made it,11,17,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",399 day,41.381,2.174
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,15-09-2016 0:00,7.5,Mayflower Hotel Apartments,United Kingdom,The bed was small Very noisy too eveytime you moved there was a creaking noise,17,2197,The location was perfect round the corner from the tube station The staff was friendly,17,2,7.9,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",322 day,51.492,-0.195
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,07-05-2017 0:00,8.7,Best Western Premier Hotel Couture,Italy,No Negative,0,8177,Very good hotel I highly recommend especially for who is travelling for business,15,15,10,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",88 days,52.351,4.841
Wurzbachgasse 21 15 Rudolfsheim F nfhaus 1150 Vienna Austria,168,28-04-2016 0:00,8.1,Atlantis Hotel Vienna,Iraq,breakfast price,3,2823,Location of the hotel,5,5,9.2,"[' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",462 day,48.204,16.336
Hietzinger Hauptstra e 10 14 13 Hietzing 1130 Vienna Austria,247,04-05-2017 0:00,8.6,Austria Trend Parkhotel Sch nbrunn Wien,Australia,Far away from city centre and other sightseeings However public transport underground train is easily accessible,18,4026,Nice Hotel and Good location to see Sch nbrunn Palace Palm House Zoo and the Glory specially for those who are travelling with family kids,27,1,5,"[' Leisure trip ', ' Family with young children ', ' Comfort Double Room ', ' Stayed 4 nights ']",91 days,48.187,16.302
10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,129,02-12-2016 0:00,9.1,Knightsbridge Hotel,United Kingdom,A little small,4,473,Quiet and good beds,5,1,7.9,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",244 day,51.498,-0.164
53 Upper Street Islington London N1 0UY United Kingdom,429,06-05-2016 0:00,8.6,Hilton London Angel Islington,United Kingdom,No Negative,0,1462,Clean comfortable lovely staff,5,10,10,"[' Business trip ', ' Group ', ' Twin Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",454 day,51.536,-0.105
Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,265,08-06-2016 0:00,9.3,Ambassade Hotel,United States of America,No Negative,0,1611,Aesthetics comfortable bed and room personal touches delicious breakfast very helpful and friendly staff I could not have wished for better in any respect,26,1,10,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double or Twin Room with Canal View ', ' Stayed 6 nights ']",421 day,52.369,4.887
Arend Janszoon Ernststraat 577 Zuideramstel 1082 LD Amsterdam Netherlands,161,26-06-2016 0:00,8.9,Element Amsterdam,India,No Negative,0,1369,Very convenient location 10 min walk from Amst Zuid connected to a v nice mall in a charming neighbourhood Great base for business or leisure Very clean good kitchenette Lovely people esp those at breakfast,37,10,9.6,"[' Leisure trip ', ' Family with young children ', ' One Bedroom Suite ', ' Stayed 3 nights ']",403 day,52.331,4.877
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,30-08-2016 0:00,8.6,Dorsett Shepherds Bush,United Kingdom,Bar closed early,4,2890,Free upgrade,3,4,9.2,"[' Leisure trip ', ' Group ', ' Dorsett Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",338 day,51.504,-0.224
Jan Luijkenstraat 76 Oud Zuid 1071 CT Amsterdam Netherlands,146,04-01-2017 0:00,8.8,Hotel JL No76,Cyprus,No Negative,0,914,everything,2,3,10,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 5 nights ']",211 day,52.36,4.88
Fleischmarkt 1a 01 Innere Stadt 1010 Vienna Austria,104,19-03-2017 0:00,8.3,Mercure Wien Zentrum,Singapore,No Negative,0,1105,Bed was too soft encountered one unfriendly staff manning the concierge,12,1,7.1,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 5 nights ']",137 day,48.211,16.375
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,21-07-2016 0:00,8.7,Best Western Premier Hotel Couture,United Kingdom,No bar it would have been nice to have a glass of wine with our meal or enjoy a gin and tonic in the evening The boys would have liked a beer,33,8177,Nice light comfortable room very handy for tram into town,12,2,6.7,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",378 day,52.351,4.841
29 31 rue des Ecoles 5th arr 75005 Paris France,90,27-07-2016 0:00,8.7,Hotel Atmospheres,Japan,A triple room was really small Extra bed was not comfortable,13,654,The reception lady was very friendly,8,1,7.9,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 3 nights ']",372 day,48.849,2.348
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,14-10-2016 0:00,8.7,Park Plaza Westminster Bridge London,Norway,No Negative,0,12158,Staff were friendly and the hotel is in a great location,13,1,7.5,"[' Business trip ', ' Solo traveler ', ' Superior Double Room Disability Access ', ' Stayed 2 nights ']",293 day,51.501,-0.117
81 Jermyn Street Westminster Borough London SW1Y 6JF United Kingdom,243,30-08-2015 0:00,8.8,The Cavendish London,Switzerland,Nothing,2,1039,Everything,2,4,10,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",704 day,51.508,-0.138
19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,249,14-09-2016 0:00,7.7,Best Western The Boltons Hotel London Kensington,Australia,limited space in bedroom particularly with 3 cases,9,1573,Extremely welcoming helpful welcoming staff all shifts especially on arrival at MN great location close to everything transport etc,20,1,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",323 day,51.491,-0.193
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,27-12-2016 0:00,7.7,Hotel Arena,Netherlands,Breakfast poor,4,1403,Great hotel with beautiful interior,6,17,7.5,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",219 day,52.361,4.916
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,22-12-2016 0:00,7.5,Mayflower Hotel Apartments,United States of America,Despite what I just said this room was a little tight for two people but I d do it again for the value,25,2197,I go to London to mostly be out and about doing theatre and museums When I am in the room I am usually sleeping so overall accommodations aren t that important to me Plus Earls Court is a great location with three tube lines,46,3,8.5,"[' Leisure trip ', ' Family with young children ', ' Standard Twin Room ', ' Stayed 4 nights ']",224 day,51.492,-0.195
61 Quai De Grenelle 15th arr 75015 Paris France,342,13-08-2015 0:00,7.6,Novotel Paris Centre Tour Eiffel,United States of America,Breakfast buffet was the same everyday Toilet was separate from bathroom and on opposite side but I guess it has its advantages of it being separate,28,2310,Great location comfortable accommodation,6,1,9.6,"[' Leisure trip ', ' Couple ', ' Standard Room with 1 Double Bed ', ' Stayed 5 nights ']",721 day,48.85,2.283
Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,757,27-10-2016 0:00,8.7,WestCord Fashion Hotel Amsterdam,Ireland,One security man was a bit unsettling creepy when you went out late at night,17,5236,Felt very comfortable in the room the bath was lovely Great location and amenities available,17,1,10,"[' Leisure trip ', ' Couple ', ' Large Double Room ', ' Stayed 6 nights ']",280 day,52.358,4.845
97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,406,24-04-2016 0:00,8.2,Radisson Blu Edwardian Kenilworth,Hungary,Rooms bathrooms are the size of a matchbox A double room is too small,15,2011,Location,2,1,5.8,"[' Solo traveler ', ' Standard Double Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",466 day,51.518,-0.128
335 337 Old Street Hackney London EC1V 9LL United Kingdom,144,27-01-2017 0:00,8.9,Courthouse Hotel Shoreditch,Netherlands,The staff didn t seem to match the maturity of the hotel All very inexperienced and at times not very helpful The bar was also quite lifeless and not very welcoming from the entrance hall,37,477,The room bathroom and bed were all very nice The mobile phone you can take out was also very useful even if it was a bit bulky,28,3,8.3,"[' Leisure trip ', ' Couple ', ' Dalston King ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",188 day,51.527,-0.08
