year,category,nominee,movie,winner,id
1955,actor in a supporting role,Arthur Kennedy,Trial,FALSE,105
1957,actor in a supporting role,Arthur Kennedy,Peyton Place,FALSE,106
1958,actor in a supporting role,Arthur Kennedy,Some Came Running,FALSE,107
1955,actor in a supporting role,Arthur O'Connell,Picnic,FALSE,108
1959,actor in a supporting role,Arthur O'Connell,Anatomy of a Murder,FALSE,109
1953,actress,Audrey Hepburn,Roman Holiday,TRUE,110
1954,actress,Audrey Hepburn,Sabrina,FALSE,111
1959,actress,Audrey Hepburn,The Nun's Story,FALSE,112
1961,actress,Audrey Hepburn,Breakfast at Tiffany's,FALSE,113
1967,actress,Audrey Hepburn,Wait until Dark,FALSE,114
1953,actress,Ava Gardner,Mogambo,FALSE,115
1979,actress in a supporting role,Barbara Barrie,Breaking Away,FALSE,116
1948,actress in a supporting role,Barbara Bel Geddes,I Remember Mama,FALSE,117
1971,actress in a supporting role,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,FALSE,118
1996,actress in a supporting role,Barbara Hershey,The Portrait of a Lady,FALSE,119
1940,actress in a supporting role,Barbara O'Neil,"All This, and Heaven Too",FALSE,120
1937,actress,Barbara Stanwyck,Stella Dallas,FALSE,121
1941,actress,Barbara Stanwyck,Ball of Fire,FALSE,122
1944,actress,Barbara Stanwyck,Double Indemnity,FALSE,123
1948,actress,Barbara Stanwyck,"Sorry, Wrong Number",FALSE,124
1968,actress,Barbra Streisand,Funny Girl,TRUE,125
1973,actress,Barbra Streisand,The Way We Were,FALSE,126
1944,actor,Barry Fitzgerald,Going My Way,FALSE,127
1944,actor in a supporting role,Barry Fitzgerald,Going My Way,TRUE,128
1936,actor in a supporting role,Basil Rathbone,Romeo and Juliet,FALSE,129
1938,actor in a supporting role,Basil Rathbone,If I Were King,FALSE,130
1967,actress in a supporting role,Beah Richards,Guess Who's Coming to Dinner,FALSE,131
1976,actress in a supporting role,Beatrice Straight,Network,TRUE,132
1971,actor in a supporting role,Ben Johnson,The Last Picture Show,TRUE,133
1982,actor in a leading role,Ben Kingsley,Gandhi,TRUE,134
1991,actor in a supporting role,Ben Kingsley,Bugsy,FALSE,135
2001,actor in a supporting role,Ben Kingsley,Sexy Beast,FALSE,136
2003,actor in a leading role,Ben Kingsley,House of Sand and Fog,FALSE,137
2000,actor in a supporting role,Benicio Del Toro,Traffic,TRUE,138
2003,actor in a supporting role,Benicio Del Toro,21 Grams,FALSE,139
2011,actress in a supporting role,B_r_nice Bejo,The Artist,FALSE,140
1955,actress in a supporting role,Betsy Blair,Marty,FALSE,141
1938,actress,Bette Davis,Jezebel,TRUE,142
1939,actress,Bette Davis,Dark Victory,FALSE,143
1940,actress,Bette Davis,The Letter,FALSE,144
1941,actress,Bette Davis,The Little Foxes,FALSE,145
1942,actress,Bette Davis,"Now, Voyager",FALSE,146
1944,actress,Bette Davis,Mr. Skeffington,FALSE,147
1950,actress,Bette Davis,All about Eve,FALSE,148
1952,actress,Bette Davis,The Star,FALSE,149
1962,actress,Bette Davis,What Ever Happened to Baby Jane?,FALSE,150
1979,actress in a leading role,Bette Midler,The Rose,FALSE,151
1991,actress in a leading role,Bette Midler,For the Boys,FALSE,152
1936,actress in a supporting role,Beulah Bondi,The Gorgeous Hussy,FALSE,153
1938,actress in a supporting role,Beulah Bondi,Of Human Hearts,FALSE,154
2003,actor in a leading role,Bill Murray,Lost in Translation,FALSE,155
1938,actress in a supporting role,Billie Burke,Merrily We Live,FALSE,156
1996,actor in a leading role,Billy Bob Thornton,Sling Blade,FALSE,157
1998,actor in a supporting role,Billy Bob Thornton,A Simple Plan,FALSE,158
1944,actor,Bing Crosby,Going My Way,TRUE,159
1945,actor,Bing Crosby,The Bells of St. Mary's,FALSE,160
1954,actor,Bing Crosby,The Country Girl,FALSE,161
1986,actor in a leading role,Bob Hoskins,Mona Lisa,FALSE,162
1963,actor in a supporting role,Bobby Darin,"Captain Newman, M.D.",FALSE,163
1936,actress in a supporting role,Bonita Granville,These Three,FALSE,164
1975,actor in a supporting role,Brad Dourif,One Flew over the Cuckoo's Nest,FALSE,165
1995,actor in a supporting role,Brad Pitt,12 Monkeys,FALSE,166
2008,actor in a leading role,Brad Pitt,The Curious Case of Benjamin Button,FALSE,167
2011,actor in a leading role,Brad Pitt,Moneyball,FALSE,168
2012,actor in a leading role,Bradley Cooper,Silver Linings Playbook,FALSE,169
1953,actor in a supporting role,Brandon De Wilde,Shane,FALSE,170
1996,actress in a leading role,Brenda Blethyn,Secrets & Lies,FALSE,171
1998,actress in a supporting role,Brenda Blethyn,Little Voice,FALSE,172
1989,actress in a supporting role,Brenda Fricker,My Left Foot,TRUE,173
1975,actress in a supporting role,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough,FALSE,174
1939,actor in a supporting role,Brian Aherne,Juarez,FALSE,175
1939,actor in a supporting role,Brian Donlevy,Beau Geste,FALSE,176
1949,actor,Broderick Crawford,All the King's Men,TRUE,177
1990,actor in a supporting role,Bruce Davison,Longtime Companion,FALSE,178
1978,actor in a supporting role,Bruce Dern,Coming Home,FALSE,179
1975,actor in a supporting role,Burgess Meredith,The Day of the Locust,FALSE,180
1976,actor in a supporting role,Burgess Meredith,Rocky,FALSE,181
1958,actor in a supporting role,Burl Ives,The Big Country,TRUE,182
1953,actor,Burt Lancaster,From Here to Eternity,FALSE,183
1960,actor,Burt Lancaster,Elmer Gantry,TRUE,184
1962,actor,Burt Lancaster,Birdman of Alcatraz,FALSE,185
1981,actor in a leading role,Burt Lancaster,Atlantic City,FALSE,186
1997,actor in a supporting role,Burt Reynolds,Boogie Nights,FALSE,187
1976,actor in a supporting role,Burt Young,Rocky,FALSE,188
1979,actress in a supporting role,Candice Bergen,Starting Over,FALSE,189
1973,actress in a supporting role,Candy Clark,American Graffiti,FALSE,190
1958,actress in a supporting role,Cara Williams,The Defiant Ones,FALSE,191
2009,actress in a leading role,Carey Mulligan,An Education,FALSE,192
1967,actress in a supporting role,Carol Channing,Thoroughly Modern Millie,FALSE,193
1975,actress,Carol Kane,Hester Street,FALSE,194
1936,actress,Carole Lombard,My Man Godfrey,FALSE,195
1957,actress in a supporting role,Carolyn Jones,The Bachelor Party,FALSE,196
1970,actress,Carrie Snodgress,Diary of a Mad Housewife,FALSE,197
1956,actress,Carroll Baker,Baby Doll,FALSE,198
1941,actor,Cary Grant,Penny Serenade,FALSE,199
1944,actor,Cary Grant,None but the Lonely Heart,FALSE,200
2007,actor in a supporting role,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,FALSE,201
2004,actress in a leading role,Catalina Sandino Moreno,Maria Full of Grace,FALSE,202
1998,actress in a leading role,Cate Blanchett,Elizabeth,FALSE,203
2004,actress in a supporting role,Cate Blanchett,The Aviator,TRUE,204
2006,actress in a supporting role,Cate Blanchett,Notes on a Scandal,FALSE,205
2007,actress in a leading role,Cate Blanchett,Elizabeth: The Golden Age,FALSE,206
2007,actress in a supporting role,Cate Blanchett,I'm Not There,FALSE,207
1969,actress in a supporting role,Catherine Burns,Last Summer,FALSE,208
1992,actress in a leading role,Catherine Deneuve,Indochine,FALSE,209
1999,actress in a supporting role,Catherine Keener,Being John Malkovich,FALSE,210
2005,actress in a supporting role,Catherine Keener,Capote,FALSE,211
2002,actress in a supporting role,Catherine Zeta-Jones,Chicago,TRUE,212
1980,actress in a supporting role,Cathy Moriarty,Raging Bull,FALSE,213
1948,actor in a supporting role,Cecil Kellaway,The Luck of the Irish,FALSE,214
1967,actor in a supporting role,Cecil Kellaway,Guess Who's Coming to Dinner,FALSE,215
1947,actress in a supporting role,Celeste Holm,Gentleman's Agreement,TRUE,216
1949,actress in a supporting role,Celeste Holm,Come to the Stable,FALSE,217
1950,actress in a supporting role,Celeste Holm,All about Eve,FALSE,218
1946,actress,Celia Johnson,Brief Encounter,FALSE,219
1943,actor in a supporting role,Charles Bickford,The Song of Bernadette,FALSE,220
1947,actor in a supporting role,Charles Bickford,The Farmer's Daughter,FALSE,221
1948,actor in a supporting role,Charles Bickford,Johnny Belinda,FALSE,222
1937,actor,Charles Boyer,Conquest,FALSE,223
1938,actor,Charles Boyer,Algiers,FALSE,224
1944,actor,Charles Boyer,Gaslight,FALSE,225
1961,actor,Charles Boyer,Fanny,FALSE,226
1940,actor,Charles Chaplin,The Great Dictator,FALSE,227
1941,actor in a supporting role,Charles Coburn,The Devil and Miss Jones,FALSE,228
1943,actor in a supporting role,Charles Coburn,The More the Merrier,TRUE,229
1946,actor in a supporting role,Charles Coburn,The Green Years,FALSE,230
1982,actor in a supporting role,Charles Durning,The Best Little Whorehouse in Texas,FALSE,231
1983,actor in a supporting role,Charles Durning,To Be or Not to Be,FALSE,232
1957,actor,Charles Laughton,Witness for the Prosecution,FALSE,233
2003,actress in a leading role,Charlize Theron,Monster,TRUE,234
2005,actress in a leading role,Charlize Theron,North Country,FALSE,235
1959,actor,Charlton Heston,Ben-Hur,TRUE,236
1994,actor in a supporting role,Chazz Palminteri,Bullets over Broadway,FALSE,237
1983,actress in a supporting role,Cher,Silkwood,FALSE,238
1987,actress in a leading role,Cher,Moonstruck,TRUE,239
1970,actor in a supporting role,Chief Dan George,Little Big Man,FALSE,240
1960,actor in a supporting role,Chill Wills,The Alamo,FALSE,241
1999,actress in a supporting role,Chlo? Sevigny,Boys Don't Cry,FALSE,242
2002,actor in a supporting role,Chris Cooper,Adaptation,TRUE,243
1975,actor in a supporting role,Chris Sarandon,Dog Day Afternoon,FALSE,244
2010,actor in a supporting role,Christian Bale,The Fighter,TRUE,245
1984,actress in a supporting role,Christine Lahti,Swing Shift,FALSE,246
2009,actor in a supporting role,Christoph Waltz,Inglourious Basterds,TRUE,247
2012,actor in a supporting role,Christoph Waltz,Django Unchained,TRUE,248
2009,actor in a supporting role,Christopher Plummer,The Last Station,FALSE,249
2011,actor in a supporting role,Christopher Plummer,Beginners,TRUE,250
1978,actor in a supporting role,Christopher Walken,The Deer Hunter,TRUE,251
2002,actor in a supporting role,Christopher Walken,Catch Me If You Can,FALSE,252
1972,actress,Cicely Tyson,Sounder,FALSE,253
1937,actress in a supporting role,Claire Trevor,Dead End,FALSE,254
1948,actress in a supporting role,Claire Trevor,Key Largo,TRUE,255
1954,actress in a supporting role,Claire Trevor,The High and the Mighty,FALSE,256
1939,actor,Clark Gable,Gone with the Wind,FALSE,257
1939,actor in a supporting role,Claude Rains,Mr. Smith Goes to Washington,FALSE,258
1943,actor in a supporting role,Claude Rains,Casablanca,FALSE,259
1944,actor in a supporting role,Claude Rains,Mr. Skeffington,FALSE,260
1946,actor in a supporting role,Claude Rains,Notorious,FALSE,261
1944,actress,Claudette Colbert,Since You Went Away,FALSE,262
1968,actor,Cliff Robertson,Charly,TRUE,263
1944,actor in a supporting role,Clifton Webb,Laura,FALSE,264
1946,actor in a supporting role,Clifton Webb,The Razor's Edge,FALSE,265
1948,actor,Clifton Webb,Sitting Pretty,FALSE,266
1992,actor in a leading role,Clint Eastwood,Unforgiven,FALSE,267
2004,actor in a leading role,Clint Eastwood,Million Dollar Baby,FALSE,268
2004,actor in a supporting role,Clive Owen,Closer,FALSE,269
1971,actress in a supporting role,Cloris Leachman,The Last Picture Show,TRUE,270
1952,actress in a supporting role,Colette Marchand,Moulin Rouge,FALSE,271
2009,actor in a leading role,Colin Firth,A Single Man,FALSE,272
2010,actor in a leading role,Colin Firth,The King's Speech,TRUE,273
1945,actor,Cornel Wilde,A Song to Remember,FALSE,274
1996,actor in a supporting role,"Cuba Gooding, Jr.",Jerry Maguire,TRUE,275
1963,actress in a supporting role,Dame Edith Evans,Tom Jones,FALSE,276
1964,actress in a supporting role,Dame Edith Evans,The Chalk Garden,FALSE,277
1967,actress,Dame Edith Evans,The Whisperers,FALSE,278
1937,actress in a supporting role,Dame May Whitty,Night Must Fall,FALSE,279
1942,actress in a supporting role,Dame May Whitty,Mrs. Miniver,FALSE,280
1989,actor in a supporting role,Dan Aykroyd,Driving Miss Daisy,FALSE,281
1948,actor,Dan Dailey,When My Baby Smiles at Me,FALSE,282
1954,actor,Dan O'Herlihy,Adventures of Robinson Crusoe,FALSE,283
1989,actor in a leading role,Daniel Day Lewis,My Left Foot,TRUE,284
1993,actor in a leading role,Daniel Day-Lewis,In the Name of the Father,FALSE,285
2002,actor in a leading role,Daniel Day-Lewis,Gangs of New York,FALSE,286
2007,actor in a leading role,Daniel Day-Lewis,There Will Be Blood,TRUE,287
2012,actor in a leading role,Daniel Day-Lewis,Lincoln,TRUE,288
1968,actor in a supporting role,Daniel Massey,Star!,FALSE,289
1989,actor in a supporting role,Danny Aiello,Do the Right Thing,FALSE,290
1958,actor,David Niven,Separate Tables,TRUE,291
1992,actor in a supporting role,David Paymer,Mr. Saturday Night,FALSE,292
2005,actor in a leading role,David Strathairn,"Good Night, and Good Luck.",FALSE,293
1949,actor in a supporting role,Dean Jagger,Twelve O'Clock High,TRUE,294
1988,actor in a supporting role,Dean Stockwell,Married to the Mob,FALSE,295
1964,actress,Debbie Reynolds,The Unsinkable Molly Brown,FALSE,296
1949,actress,Deborah Kerr,"Edward, My Son",FALSE,297
1953,actress,Deborah Kerr,From Here to Eternity,FALSE,298
1956,actress,Deborah Kerr,The King and I,FALSE,299
1957,actress,Deborah Kerr,"Heaven Knows, Mr. Allison",FALSE,300
1958,actress,Deborah Kerr,Separate Tables,FALSE,301
1960,actress,Deborah Kerr,The Sundowners,FALSE,302
1982,actress in a leading role,Debra Winger,An Officer and a Gentleman,FALSE,303
1983,actress in a leading role,Debra Winger,Terms of Endearment,FALSE,304
1993,actress in a leading role,Debra Winger,Shadowlands,FALSE,305
2011,actor in a leading role,Demi?n Bichir,A Better Life,FALSE,306
1986,actor in a supporting role,Denholm Elliott,A Room with a View,FALSE,307
1986,actor in a supporting role,Dennis Hopper,Hoosiers,FALSE,308
1987,actor in a supporting role,Denzel Washington,Cry Freedom,FALSE,309
1989,actor in a supporting role,Denzel Washington,Glory,TRUE,310
1992,actor in a leading role,Denzel Washington,Malcolm X,FALSE,311
1999,actor in a leading role,Denzel Washington,The Hurricane,FALSE,312
2001,actor in a leading role,Denzel Washington,Training Day,TRUE,313
2012,actor in a leading role,Denzel Washington,Flight,FALSE,314
1986,actor in a leading role,Dexter Gordon,'Round Midnight,FALSE,315
1974,actress,Diahann Carroll,Claudine,FALSE,316
1972,actress,Diana Ross,Lady Sings the Blues,FALSE,317
1980,actress in a supporting role,Diana Scarwid,Inside Moves,FALSE,318
1963,actress in a supporting role,Diane Cilento,Tom Jones,FALSE,319
1977,actress in a leading role,Diane Keaton,Annie Hall,TRUE,320
1981,actress in a leading role,Diane Keaton,Reds,FALSE,321
1996,actress in a leading role,Diane Keaton,Marvin's Room,FALSE,322
2003,actress in a leading role,Diane Keaton,Something's Gotta Give,FALSE,323
1974,actress in a supporting role,Diane Ladd,Alice Doesn't Live Here Anymore,FALSE,324
1990,actress in a supporting role,Diane Ladd,Wild at Heart,FALSE,325
1991,actress in a supporting role,Diane Ladd,Rambling Rose,FALSE,326
2002,actress in a leading role,Diane Lane,Unfaithful,FALSE,327
1957,actress in a supporting role,Diane Varsi,Peyton Place,FALSE,328
1986,actress in a supporting role,Dianne Wiest,Hannah and Her Sisters,TRUE,329
1989,actress in a supporting role,Dianne Wiest,Parenthood,FALSE,330
1994,actress in a supporting role,Dianne Wiest,Bullets over Broadway,TRUE,331
2003,actor in a supporting role,Djimon Hounsou,In America,FALSE,332
2006,actor in a supporting role,Djimon Hounsou,Blood Diamond,FALSE,333
1985,actor in a supporting role,Don Ameche,Cocoon,TRUE,334
2004,actor in a leading role,Don Cheadle,Hotel Rwanda,FALSE,335
1956,actor in a supporting role,Don Murray,Bus Stop,FALSE,336
1941,actor in a supporting role,Donald Crisp,How Green Was My Valley,TRUE,337
1953,actress in a supporting role,Donna Reed,From Here to Eternity,TRUE,338
1959,actress,Doris Day,Pillow Talk,FALSE,339
1954,actress,Dorothy Dandridge,Carmen Jones,FALSE,340
1956,actress in a supporting role,Dorothy Malone,Written on the Wind,TRUE,341
1947,actress,Dorothy McGuire,Gentleman's Agreement,FALSE,342
1981,actor in a leading role,Dudley Moore,Arthur,FALSE,343
1967,actor,Dustin Hoffman,The Graduate,FALSE,344
1969,actor,Dustin Hoffman,Midnight Cowboy,FALSE,345
1974,actor,Dustin Hoffman,Lenny,FALSE,346
1979,actor in a leading role,Dustin Hoffman,Kramer vs. Kramer,TRUE,347
1982,actor in a leading role,Dustin Hoffman,Tootsie,FALSE,348
1988,actor in a leading role,Dustin Hoffman,Rain Man,TRUE,349
1997,actor in a leading role,Dustin Hoffman,Wag the Dog,FALSE,350
1969,actress in a supporting role,Dyan Cannon,Bob & Carol & Ted & Alice,FALSE,351
1978,actress in a supporting role,Dyan Cannon,Heaven Can Wait,FALSE,352
1962,actor in a supporting role,Ed Begley,Sweet Bird of Youth,TRUE,353
1995,actor in a supporting role,Ed Harris,Apollo 13,FALSE,354
1998,actor in a supporting role,Ed Harris,The Truman Show,FALSE,355
2000,actor in a leading role,Ed Harris,Pollock,FALSE,356
2002,actor in a supporting role,Ed Harris,The Hours,FALSE,357
1959,actor in a supporting role,Ed Wynn,The Diary of Anne Frank,FALSE,358
1953,actor in a supporting role,Eddie Albert,Roman Holiday,FALSE,359
1972,actor in a supporting role,Eddie Albert,The Heartbreak Kid,FALSE,360
2006,actor in a supporting role,Eddie Murphy,Dreamgirls,FALSE,361
1954,actor in a supporting role,Edmond O'Brien,The Barefoot Contessa,TRUE,362
1964,actor in a supporting role,Edmond O'Brien,Seven Days in May,FALSE,363
1947,actor in a supporting role,Edmund Gwenn,Miracle on 34th Street,TRUE,364
1950,actor in a supporting role,Edmund Gwenn,Mister 880,FALSE,365
1939,actress in a supporting role,Edna May Oliver,Drums along the Mohawk,FALSE,366
1988,actor in a leading role,Edward James Olmos,Stand and Deliver,FALSE,367
1996,actor in a supporting role,Edward Norton,Primal Fear,FALSE,368
1998,actor in a leading role,Edward Norton,American History X,FALSE,369
1980,actress in a supporting role,Eileen Brennan,Private Benjamin,FALSE,370
1956,actress in a supporting role,Eileen Heckart,The Bad Seed,FALSE,371
1972,actress in a supporting role,Eileen Heckart,Butterflies Are Free,TRUE,372
1950,actress,Eleanor Parker,Caged,FALSE,373
1951,actress,Eleanor Parker,Detective Story,FALSE,374
1955,actress,Eleanor Parker,Interrupted Melody,FALSE,375
1995,actress in a leading role,Elisabeth Shue,Leaving Las Vegas,FALSE,376
1965,actress,Elizabeth Hartman,A Patch of Blue,FALSE,377
1981,actress in a supporting role,Elizabeth McGovern,Ragtime,FALSE,378
1957,actress,Elizabeth Taylor,Raintree County,FALSE,379
1958,actress,Elizabeth Taylor,Cat on a Hot Tin Roof,FALSE,380
1959,actress,Elizabeth Taylor,"Suddenly, Last Summer",FALSE,381
1960,actress,Elizabeth Taylor,Butterfield 8,TRUE,382
1966,actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,TRUE,383
1971,actress in a supporting role,Ellen Burstyn,The Last Picture Show,FALSE,384
1973,actress,Ellen Burstyn,The Exorcist,FALSE,385
1974,actress,Ellen Burstyn,Alice Doesn't Live Here Anymore,TRUE,386
1978,actress in a leading role,Ellen Burstyn,"Same Time, Next Year",FALSE,387
1980,actress in a leading role,Ellen Burstyn,Resurrection,FALSE,388
2000,actress in a leading role,Ellen Burstyn,Requiem for a Dream,FALSE,389
1948,actress in a supporting role,Ellen Corby,I Remember Mama,FALSE,390
2007,actress in a leading role,Ellen Page,Juno,FALSE,391
1969,actor in a supporting role,Elliott Gould,Bob & Carol & Ted & Alice,FALSE,392
1949,actress in a supporting role,Elsa Lanchester,Come to the Stable,FALSE,393
1957,actress in a supporting role,Elsa Lanchester,Witness for the Prosecution,FALSE,394
1996,actress in a leading role,Emily Watson,Breaking the Waves,FALSE,395
1998,actress in a leading role,Emily Watson,Hilary and Jackie,FALSE,396
1992,actress in a leading role,Emma Thompson,Howards End,TRUE,397
1993,actress in a leading role,Emma Thompson,The Remains of the Day,FALSE,398
1993,actress in a supporting role,Emma Thompson,In the Name of the Father,FALSE,399
1995,actress in a leading role,Emma Thompson,Sense and Sensibility,FALSE,400
2012,actress in a leading role,Emmanuelle Riva,Amour,FALSE,401
1985,actor in a supporting role,Eric Roberts,Runaway Train,FALSE,402
1950,actor in a supporting role,Erich von Stroheim,Sunset Blvd.,FALSE,403
1955,actor,Ernest Borgnine,Marty,TRUE,404
1967,actress in a supporting role,Estelle Parsons,Bonnie and Clyde,TRUE,405
1968,actress in a supporting role,Estelle Parsons,"Rachel, Rachel",FALSE,406
2001,actor in a supporting role,Ethan Hawke,Training Day,FALSE,407
