user_id,occurred_at,experiment,experiment_group,location,device
1158,03-06-2014 9:31,publisher_update,test_group,United States,dell inspiron notebook
1164,04-06-2014 9:31,publisher_update,test_group,Denmark,asus chromebook
1221,06-06-2014 18:06,publisher_update,control_group,Denmark,mac mini
1224,23-06-2014 9:31,publisher_update,control_group,Korea,samsung galaxy s4
1226,09-06-2014 9:31,publisher_update,test_group,Turkey,lenovo thinkpad
1232,02-06-2014 12:35,publisher_update,test_group,Japan,samsung galaxy s4
1242,16-06-2014 9:31,publisher_update,control_group,France,macbook air
1245,03-06-2014 9:31,publisher_update,control_group,Russia,ipad air
1252,07-06-2014 9:25,publisher_update,control_group,Japan,macbook pro
1274,11-06-2014 9:31,publisher_update,test_group,United Kingdom,ipad air
1289,19-06-2014 9:31,publisher_update,test_group,United States,dell inspiron desktop
1294,19-06-2014 9:31,publisher_update,control_group,Brazil,macbook pro
1296,04-06-2014 15:08,publisher_update,test_group,United Kingdom,iphone 5
1297,03-06-2014 16:43,publisher_update,test_group,United States,macbook pro
1298,19-06-2014 9:31,publisher_update,test_group,United States,iphone 4s
1304,01-06-2014 14:17,publisher_update,control_group,United States,nexus 7
1309,06-06-2014 9:31,publisher_update,control_group,France,macbook pro
1320,02-06-2014 9:31,publisher_update,test_group,Japan,acer aspire notebook
1344,03-06-2014 9:31,publisher_update,test_group,Germany,iphone 5
1349,03-06-2014 6:23,publisher_update,test_group,Portugal,windows surface
1377,05-06-2014 9:31,publisher_update,test_group,Canada,iphone 5
1381,05-06-2014 9:31,publisher_update,test_group,Finland,windows surface
1430,02-06-2014 9:31,publisher_update,control_group,United States,iphone 4s
1444,24-06-2014 9:31,publisher_update,test_group,Colombia,acer aspire desktop
1445,10-06-2014 9:31,publisher_update,control_group,United States,ipad mini
1472,25-06-2014 9:31,publisher_update,test_group,United States,samsung galaxy s4
1500,07-06-2014 16:17,publisher_update,test_group,France,macbook pro
1527,09-06-2014 9:31,publisher_update,test_group,United States,dell inspiron desktop
1535,02-06-2014 9:31,publisher_update,test_group,United States,macbook pro
1540,03-06-2014 19:22,publisher_update,control_group,Singapore,macbook pro
1543,02-06-2014 9:31,publisher_update,test_group,Spain,nexus 5
1546,02-06-2014 9:11,publisher_update,control_group,United States,hp pavilion desktop
1552,03-06-2014 9:31,publisher_update,control_group,Chile,iphone 5
1558,03-06-2014 9:31,publisher_update,control_group,United States,iphone 5
1602,06-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
1605,20-06-2014 9:31,publisher_update,control_group,United States,nokia lumia 635
1633,30-06-2014 9:31,publisher_update,test_group,France,lenovo thinkpad
1637,23-06-2014 9:31,publisher_update,test_group,Canada,iphone 5
1638,02-06-2014 9:31,publisher_update,control_group,United States,mac mini
1639,05-06-2014 14:32,publisher_update,test_group,United States,dell inspiron desktop
1641,02-06-2014 9:31,publisher_update,test_group,United States,macbook pro
1648,23-06-2014 9:31,publisher_update,test_group,Russia,macbook pro
1651,10-06-2014 9:31,publisher_update,test_group,Korea,iphone 4s
1686,04-06-2014 9:31,publisher_update,test_group,United States,iphone 4s
1690,05-06-2014 8:45,publisher_update,test_group,Japan,macbook air
1692,06-06-2014 12:49,publisher_update,control_group,Russia,iphone 5s
1702,26-06-2014 9:31,publisher_update,control_group,Spain,macbook pro
1711,26-06-2014 9:31,publisher_update,test_group,United Kingdom,dell inspiron notebook
1720,07-06-2014 10:28,publisher_update,test_group,Korea,iphone 5
1722,03-06-2014 13:54,publisher_update,control_group,Spain,nexus 7
1724,13-06-2014 9:31,publisher_update,control_group,United Kingdom,amazon fire phone
1735,23-06-2014 9:31,publisher_update,control_group,Brazil,iphone 4s
1736,02-06-2014 12:01,publisher_update,test_group,Italy,nokia lumia 635
1747,23-06-2014 9:31,publisher_update,test_group,United States,lenovo thinkpad
1748,02-06-2014 6:11,publisher_update,test_group,France,iphone 5
1768,17-06-2014 9:31,publisher_update,control_group,Mexico,samsumg galaxy tablet
1782,03-06-2014 9:31,publisher_update,control_group,United States,macbook air
1791,06-06-2014 8:20,publisher_update,test_group,United States,iphone 4s
1805,02-06-2014 8:42,publisher_update,control_group,Japan,macbook pro
1815,19-06-2014 9:31,publisher_update,test_group,United States,macbook pro
1825,06-06-2014 9:31,publisher_update,control_group,Poland,macbook pro
1839,04-06-2014 9:11,publisher_update,test_group,Ireland,dell inspiron notebook
1849,02-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
1854,09-06-2014 9:31,publisher_update,test_group,United States,iphone 5
1858,05-06-2014 14:42,publisher_update,test_group,United Kingdom,macbook pro
1878,24-06-2014 9:31,publisher_update,test_group,Germany,hp pavilion desktop
1881,24-06-2014 9:31,publisher_update,test_group,Mexico,nexus 10
1889,03-06-2014 9:31,publisher_update,test_group,United States,dell inspiron desktop
1893,03-06-2014 9:31,publisher_update,control_group,Sweden,acer aspire notebook
1932,05-06-2014 16:12,publisher_update,test_group,Spain,lenovo thinkpad
1945,20-06-2014 9:31,publisher_update,control_group,Canada,iphone 4s
1951,02-06-2014 17:16,publisher_update,control_group,India,macbook pro
1960,03-06-2014 18:24,publisher_update,control_group,United States,macbook air
1963,03-06-2014 11:33,publisher_update,test_group,Germany,macbook air
1967,23-06-2014 9:31,publisher_update,control_group,France,macbook air
1977,04-06-2014 19:18,publisher_update,control_group,France,iphone 4s
1986,23-06-2014 9:31,publisher_update,test_group,Italy,nokia lumia 635
2018,04-06-2014 9:31,publisher_update,control_group,Sweden,macbook pro
2022,11-06-2014 9:31,publisher_update,test_group,France,macbook pro
2025,11-06-2014 9:31,publisher_update,test_group,Canada,macbook pro
2042,05-06-2014 9:12,publisher_update,test_group,United States,samsung galaxy s4
2043,19-06-2014 9:31,publisher_update,control_group,Russia,samsung galaxy s4
2050,12-06-2014 9:31,publisher_update,test_group,United Kingdom,lenovo thinkpad
2060,20-06-2014 9:31,publisher_update,control_group,Germany,nexus 10
2064,01-06-2014 14:49,publisher_update,test_group,Netherlands,macbook air
2065,03-06-2014 18:37,publisher_update,test_group,Germany,macbook air
2070,06-06-2014 9:31,publisher_update,test_group,United States,samsung galaxy s4
2087,16-06-2014 9:31,publisher_update,test_group,United States,ipad air
2100,02-06-2014 11:31,publisher_update,control_group,United States,macbook pro
2102,30-06-2014 9:31,publisher_update,control_group,United States,iphone 5s
2116,17-06-2014 9:31,publisher_update,test_group,Mexico,htc one
2118,10-06-2014 9:31,publisher_update,control_group,Poland,lenovo thinkpad
2155,26-06-2014 9:31,publisher_update,control_group,Russia,lenovo thinkpad
2162,01-06-2014 14:57,publisher_update,control_group,United States,macbook air
2179,05-06-2014 10:38,publisher_update,control_group,Korea,lenovo thinkpad
2199,16-06-2014 9:31,publisher_update,control_group,Spain,macbook pro
2206,03-06-2014 9:47,publisher_update,test_group,Spain,mac mini
2209,23-06-2014 9:31,publisher_update,control_group,Israel,iphone 5s
2215,02-06-2014 13:51,publisher_update,control_group,Netherlands,dell inspiron notebook
2217,16-06-2014 9:31,publisher_update,test_group,United States,iphone 4s
2242,24-06-2014 9:31,publisher_update,test_group,United Kingdom,iphone 5
2257,06-06-2014 16:09,publisher_update,control_group,France,macbook pro
2262,02-06-2014 13:45,publisher_update,test_group,United States,dell inspiron notebook
2274,12-06-2014 9:31,publisher_update,control_group,United States,samsung galaxy s4
2292,20-06-2014 9:31,publisher_update,control_group,Sweden,macbook pro
2320,09-06-2014 9:31,publisher_update,test_group,Germany,iphone 4s
2322,30-06-2014 9:31,publisher_update,test_group,Israel,macbook pro
2325,30-06-2014 9:31,publisher_update,test_group,Russia,iphone 4s
2332,30-06-2014 9:31,publisher_update,test_group,Nigeria,dell inspiron notebook
2357,04-06-2014 16:39,publisher_update,control_group,United States,kindle fire
2358,07-06-2014 15:50,publisher_update,control_group,Turkey,htc one
2360,02-06-2014 19:46,publisher_update,test_group,United States,iphone 4s
2361,08-06-2014 11:17,publisher_update,control_group,Japan,dell inspiron notebook
2372,24-06-2014 9:31,publisher_update,control_group,Greece,htc one
2385,04-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
2398,19-06-2014 9:31,publisher_update,control_group,United States,nexus 7
2409,12-06-2014 9:31,publisher_update,control_group,Italy,dell inspiron notebook
2419,27-06-2014 9:31,publisher_update,control_group,Russia,samsung galaxy s4
2426,06-06-2014 16:12,publisher_update,test_group,Russia,macbook air
2428,20-06-2014 9:31,publisher_update,test_group,Japan,lenovo thinkpad
2429,27-06-2014 9:31,publisher_update,control_group,Thailand,samsung galaxy s4
2440,16-06-2014 9:31,publisher_update,control_group,Indonesia,nexus 7
2451,30-06-2014 9:31,publisher_update,control_group,Turkey,macbook pro
2452,23-06-2014 9:31,publisher_update,control_group,Netherlands,ipad air
2456,16-06-2014 9:31,publisher_update,test_group,Mexico,samsung galaxy s4
2487,17-06-2014 9:31,publisher_update,control_group,Israel,iphone 4s
2488,06-06-2014 8:28,publisher_update,test_group,Italy,nexus 5
2494,03-06-2014 9:31,publisher_update,test_group,United States,macbook pro
2497,03-06-2014 9:31,publisher_update,test_group,Mexico,macbook pro
2538,05-06-2014 9:31,publisher_update,control_group,Japan,acer aspire notebook
2546,05-06-2014 9:31,publisher_update,control_group,United Kingdom,iphone 5
2562,13-06-2014 9:31,publisher_update,control_group,Australia,macbook pro
2574,10-06-2014 15:59,publisher_update,test_group,United States,nexus 10
2581,09-06-2014 9:31,publisher_update,control_group,Italy,nexus 5
2583,01-06-2014 16:04,publisher_update,control_group,United States,lenovo thinkpad
2585,09-06-2014 9:31,publisher_update,test_group,India,nokia lumia 635
2590,02-06-2014 9:31,publisher_update,test_group,Russia,iphone 4s
2601,03-06-2014 9:31,publisher_update,test_group,France,iphone 5s
2635,04-06-2014 9:31,publisher_update,test_group,United States,dell inspiron notebook
2639,11-06-2014 9:31,publisher_update,test_group,United States,lenovo thinkpad
2650,06-06-2014 17:11,publisher_update,test_group,Italy,iphone 5
2655,19-06-2014 9:31,publisher_update,control_group,Brazil,dell inspiron desktop
2660,12-06-2014 9:31,publisher_update,control_group,Italy,htc one
2663,05-06-2014 9:31,publisher_update,control_group,United States,nokia lumia 635
2666,19-06-2014 9:31,publisher_update,control_group,United States,dell inspiron notebook
2670,05-06-2014 8:05,publisher_update,test_group,United States,dell inspiron desktop
2672,12-06-2014 9:31,publisher_update,control_group,United States,macbook air
2690,06-06-2014 9:31,publisher_update,control_group,United States,macbook pro
2706,06-06-2014 9:39,publisher_update,control_group,Italy,iphone 5
2719,02-06-2014 9:31,publisher_update,test_group,India,macbook air
2731,03-06-2014 11:39,publisher_update,test_group,United Arab Emirates,lenovo thinkpad
2732,05-06-2014 15:09,publisher_update,test_group,Poland,lenovo thinkpad
2742,10-06-2014 9:31,publisher_update,control_group,Mexico,acer aspire notebook
2791,05-06-2014 9:31,publisher_update,control_group,Canada,ipad air
2806,13-06-2014 9:31,publisher_update,control_group,United States,macbook pro
2813,01-06-2014 11:15,publisher_update,test_group,United Kingdom,macbook air
2855,23-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
2860,23-06-2014 9:31,publisher_update,test_group,United Arab Emirates,iphone 5s
2871,10-06-2014 9:31,publisher_update,control_group,Germany,macbook pro
2882,02-06-2014 9:48,publisher_update,control_group,Italy,nexus 5
2911,04-06-2014 9:31,publisher_update,test_group,United Kingdom,macbook pro
2916,19-06-2014 9:31,publisher_update,test_group,Indonesia,dell inspiron notebook
2932,26-06-2014 9:31,publisher_update,control_group,Brazil,macbook pro
2948,07-06-2014 15:47,publisher_update,test_group,United Kingdom,macbook pro
2952,05-06-2014 11:38,publisher_update,test_group,Indonesia,windows surface
2964,05-06-2014 9:12,publisher_update,control_group,United States,ipad air
2968,30-06-2014 9:31,publisher_update,test_group,Brazil,acer aspire notebook
2978,30-06-2014 9:31,publisher_update,test_group,Italy,iphone 5
2981,23-06-2014 9:31,publisher_update,control_group,United States,hp pavilion desktop
2982,16-06-2014 9:31,publisher_update,control_group,India,samsung galaxy s4
2989,02-06-2014 9:31,publisher_update,test_group,United Kingdom,ipad mini
2998,05-06-2014 13:31,publisher_update,control_group,Malaysia,ipad mini
3006,24-06-2014 9:31,publisher_update,test_group,Denmark,lenovo thinkpad
3015,10-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
3020,03-06-2014 9:47,publisher_update,test_group,United States,lenovo thinkpad
3040,02-06-2014 7:59,publisher_update,test_group,Indonesia,dell inspiron desktop
3048,04-06-2014 9:31,publisher_update,test_group,United States,lenovo thinkpad
3053,05-06-2014 19:05,publisher_update,control_group,United States,acer aspire notebook
3056,26-06-2014 9:31,publisher_update,test_group,Mexico,asus chromebook
3067,02-06-2014 7:29,publisher_update,test_group,Canada,nexus 7
3076,26-06-2014 9:31,publisher_update,test_group,United States,iphone 5s
3077,04-06-2014 15:24,publisher_update,control_group,Italy,lenovo thinkpad
3089,01-06-2014 19:02,publisher_update,control_group,United States,nexus 7
3091,20-06-2014 9:31,publisher_update,control_group,Greece,nexus 5
3092,13-06-2014 9:31,publisher_update,test_group,United Kingdom,samsung galaxy note
3094,03-06-2014 10:49,publisher_update,test_group,France,dell inspiron notebook
3106,02-06-2014 12:38,publisher_update,control_group,United States,samsumg galaxy tablet
3108,03-06-2014 9:37,publisher_update,test_group,United States,macbook pro
3109,02-06-2014 16:34,publisher_update,control_group,Italy,iphone 5
3111,09-06-2014 9:31,publisher_update,control_group,United States,macbook pro
3127,16-06-2014 9:31,publisher_update,control_group,Japan,nexus 10
3143,03-06-2014 11:27,publisher_update,test_group,Korea,iphone 4s
3147,17-06-2014 9:31,publisher_update,test_group,United States,nexus 5
3149,03-06-2014 9:30,publisher_update,control_group,Mexico,iphone 5s
3160,24-06-2014 9:31,publisher_update,test_group,Denmark,dell inspiron notebook
3166,03-06-2014 9:31,publisher_update,test_group,Venezuela,asus chromebook
3181,04-06-2014 12:51,publisher_update,control_group,Austria,htc one
3186,25-06-2014 9:31,publisher_update,control_group,France,macbook pro
3206,05-06-2014 9:31,publisher_update,control_group,Spain,dell inspiron notebook
3207,05-06-2014 9:31,publisher_update,test_group,Russia,iphone 5
3231,06-06-2014 11:42,publisher_update,control_group,United States,hp pavilion desktop
3240,09-06-2014 9:31,publisher_update,control_group,United Kingdom,macbook pro
3251,23-06-2014 9:31,publisher_update,test_group,United Kingdom,asus chromebook
3259,01-06-2014 9:59,publisher_update,control_group,Brazil,ipad air
3264,02-06-2014 9:31,publisher_update,test_group,Germany,dell inspiron desktop
3270,03-06-2014 9:24,publisher_update,test_group,Mexico,lenovo thinkpad
3281,17-06-2014 9:31,publisher_update,control_group,United States,nexus 7
3302,03-06-2014 9:31,publisher_update,control_group,Canada,lenovo thinkpad
3313,18-06-2014 9:31,publisher_update,test_group,Hong Kong,nexus 7
3315,07-06-2014 19:06,publisher_update,control_group,Japan,lenovo thinkpad
3318,04-06-2014 10:25,publisher_update,control_group,Canada,macbook air
3329,09-06-2014 0:02,publisher_update,control_group,Australia,lenovo thinkpad
3331,11-06-2014 9:31,publisher_update,control_group,India,asus chromebook
3369,13-06-2014 9:31,publisher_update,control_group,Mexico,htc one
3373,20-06-2014 9:31,publisher_update,test_group,France,dell inspiron notebook
3376,13-06-2014 9:31,publisher_update,control_group,United States,ipad mini
3398,16-06-2014 9:31,publisher_update,test_group,Iraq,macbook air
3404,10-06-2014 17:56,publisher_update,control_group,Nigeria,iphone 5
3415,16-06-2014 9:31,publisher_update,control_group,United Kingdom,macbook pro
3417,23-06-2014 9:31,publisher_update,test_group,United States,iphone 5
3420,02-06-2014 15:39,publisher_update,test_group,Japan,macbook pro
3422,09-06-2014 9:31,publisher_update,control_group,United States,samsung galaxy s4
3443,10-06-2014 9:31,publisher_update,control_group,United States,iphone 5
3451,03-06-2014 9:31,publisher_update,test_group,Brazil,asus chromebook
3453,03-06-2014 8:53,publisher_update,control_group,Korea,iphone 5
3455,03-06-2014 9:31,publisher_update,test_group,Poland,nexus 7
3456,03-06-2014 9:31,publisher_update,control_group,Germany,iphone 5s
3459,11-06-2014 9:31,publisher_update,test_group,Germany,lenovo thinkpad
3468,03-06-2014 14:43,publisher_update,control_group,Australia,acer aspire desktop
3479,11-06-2014 9:31,publisher_update,test_group,Taiwan,dell inspiron desktop
3507,04-06-2014 11:13,publisher_update,control_group,Sweden,macbook pro
3514,13-06-2014 9:31,publisher_update,test_group,France,ipad air
3515,06-06-2014 9:31,publisher_update,control_group,Colombia,macbook pro
3534,13-06-2014 9:31,publisher_update,control_group,United States,macbook pro
3540,01-06-2014 7:36,publisher_update,test_group,United States,iphone 5
3547,23-06-2014 9:31,publisher_update,test_group,United States,macbook air
3549,09-06-2014 9:31,publisher_update,control_group,Spain,macbook air
3551,04-06-2014 12:33,publisher_update,control_group,United Arab Emirates,macbook pro
3573,02-06-2014 9:31,publisher_update,control_group,Japan,nexus 7
3575,05-06-2014 8:09,publisher_update,control_group,Netherlands,dell inspiron notebook
3582,02-06-2014 9:31,publisher_update,test_group,United States,macbook pro
3583,17-06-2014 9:31,publisher_update,test_group,Venezuela,asus chromebook
3585,03-06-2014 9:31,publisher_update,control_group,Pakistan,lenovo thinkpad
3593,05-06-2014 10:11,publisher_update,test_group,United States,samsung galaxy note
3596,10-06-2014 9:31,publisher_update,test_group,United States,dell inspiron desktop
3597,04-06-2014 15:33,publisher_update,control_group,Switzerland,iphone 4s
3600,17-06-2014 9:31,publisher_update,control_group,Netherlands,macbook pro
3629,02-06-2014 12:15,publisher_update,test_group,United States,lenovo thinkpad
3634,04-06-2014 9:31,publisher_update,test_group,United States,iphone 5
3638,02-06-2014 9:40,publisher_update,test_group,United States,dell inspiron notebook
3685,06-06-2014 9:31,publisher_update,control_group,United States,macbook pro
3691,03-06-2014 18:43,publisher_update,control_group,Japan,macbook pro
3699,30-06-2014 9:31,publisher_update,control_group,Portugal,iphone 5s
3722,23-06-2014 9:31,publisher_update,test_group,India,lenovo thinkpad
3723,16-06-2014 9:31,publisher_update,test_group,Germany,macbook pro
3745,03-06-2014 9:31,publisher_update,test_group,Japan,lenovo thinkpad
3750,10-06-2014 9:31,publisher_update,test_group,United States,htc one
3751,24-06-2014 9:31,publisher_update,control_group,France,macbook air
3762,10-06-2014 9:31,publisher_update,control_group,South Africa,nexus 5
3768,04-06-2014 10:28,publisher_update,control_group,Colombia,nexus 5
3769,17-06-2014 9:31,publisher_update,test_group,United States,asus chromebook
3813,19-06-2014 9:31,publisher_update,control_group,United States,macbook pro
3845,20-06-2014 9:31,publisher_update,control_group,Switzerland,iphone 5
3879,16-06-2014 9:31,publisher_update,control_group,Germany,macbook pro
3890,02-06-2014 9:31,publisher_update,test_group,Indonesia,macbook air
3892,16-06-2014 9:31,publisher_update,test_group,Germany,hp pavilion desktop
3913,06-06-2014 12:35,publisher_update,control_group,Taiwan,macbook pro
3915,10-06-2014 9:31,publisher_update,test_group,Germany,nexus 7
3924,03-06-2014 9:31,publisher_update,control_group,Brazil,lenovo thinkpad
3931,11-06-2014 9:31,publisher_update,control_group,Italy,nexus 5
3936,18-06-2014 9:31,publisher_update,test_group,United States,lenovo thinkpad
3944,18-06-2014 9:31,publisher_update,control_group,France,iphone 4s
3952,10-06-2014 7:06,publisher_update,test_group,France,asus chromebook
3962,02-06-2014 7:55,publisher_update,control_group,United States,dell inspiron notebook
3965,12-06-2014 9:31,publisher_update,test_group,Spain,iphone 5s
3968,05-06-2014 15:05,publisher_update,test_group,Canada,macbook pro
3970,19-06-2014 9:31,publisher_update,control_group,Canada,dell inspiron desktop
3971,03-06-2014 18:45,publisher_update,test_group,United States,ipad mini
3977,27-06-2014 9:31,publisher_update,control_group,Canada,lenovo thinkpad
3979,06-06-2014 15:02,publisher_update,test_group,Argentina,samsung galaxy s4
3989,07-06-2014 14:37,publisher_update,test_group,United States,macbook pro
