name,amg_person_id,top_genre,birthday,id
Burgess Meredith,P102566,Drama,16-11-1907,59
Peggy Ashcroft,P 2516,Drama,22-12-1907,60
John Mills,P102933,Drama,22-02-1908,61
Rex Harrison,P 30718,Drama,05-03-1908,62
Anna Magnani,P100751,Drama,07-03-1908,63
Michael Redgrave,P 59205,Drama,20-03-1908,64
Joan Crawford,P 15681,Drama,23-03-1908,65
Arthur O'Connell,P 53319,Drama,29-03-1908,66
Bette Davis,P 17295,Drama,05-04-1908,67
Eve Arden,P 2128,Comedy,30-04-1908,68
James Stewart,P 68236,Drama,20-05-1908,69
Robert Morley,P 50731,Comedy,26-05-1908,70
Don Ameche,P 1323,Comedy,31-05-1908,71
Rosalind Russell,P 62246,Comedy,04-06-1908,72
Jack Gilford,P 26814,Comedy,25-07-1908,73
Tom Tully,P 72091,Drama,21-08-1908,74
Carole Lombard,P 43021,Comedy,06-10-1908,75
Celia Johnson,P 35792,Drama,18-12-1908,76
Lew Ayres,P 3047,Drama,28-12-1908,77
Ann Sothern,P 66971,Comedy,22-01-1909,78
Josephine Hull,P 33882,Comedy,27-02-1909,79
Patricia Collinge,P 14195,Drama,07-03-1909,80
John Marley,P 45621,Drama,22-03-1909,81
Juanita Moore,P 50324,Drama,29-03-1909,82
Lila Kedrova,P 37296,Drama,02-04-1909,83
John Dall,P 16661,Drama,02-04-1909,84
Jocelyne Lagarde,P 39998,Drama,07-04-1909,85
Rupert Crosse,P 15924,Adventure,11-04-1909,86
Maggie McNamara,P 47955,Drama,12-04-1909,87
Anne Ramsey,P 58676,Drama,13-04-1909,88
Adolph Caesar,P 10141,Adventure,18-04-1909,89
Ronee Blakley,P 6463,Drama,30-04-1909,90
Leslie Browne,P 9074,Drama,12-05-1909,91
James Mason,P101610,Drama,15-05-1909,92
Jessica Tandy,P 69780,Drama,07-06-1909,93
Burl Ives,P 34703,Drama,14-06-1909,94
Barbara O'Neil,P 53572,Drama,10-07-1909,95
Miliza Korjus,P 39118,Drama,18-08-1909,96
Robert Ryan,P128119,Drama,11-11-1909,97
Luise Rainer,P 58527,Drama,12-01-1910,98
David Niven,P 52791,Comedy,01-03-1910,99
Claire Trevor,P 71758,Drama,08-03-1910,100
Paulette Goddard,P 27336,Comedy,03-06-1910,101
Gloria Stuart,P 68812,Drama,04-07-1910,102
Sylvia Sidney,P 65554,Drama,08-08-1910,103
Van Heflin,P 31516,Drama,13-12-1910,104
Arthur Hunnicutt,P 33950,Western,17-02-1911,105
Margaret Sullavan,P 68972,Drama,16-05-1911,106
Ellen Corby,P 14941,Drama,13-06-1911,107
Ginger Rogers,P 61099,Comedy,16-07-1911,108
Hume Cronyn,P 15864,Drama,18-07-1911,109
Ruth Hussey,P 34127,Drama,30-10-1911,110
Lee J. Cobb,P 13814,Drama,09-12-1911,111
Broderick Crawford,P 15668,Drama,09-12-1911,112
Jos_ Ferrer,P 89648,Drama,08-01-1912,113
Karl Malden,P 44670,Drama,22-03-1912,114
Hugh Griffith,P 28839,Comedy,30-05-1912,115
Wendy Hiller,P 32374,Drama,15-08-1912,116
Gene Kelly,P 97107,Musical,23-08-1912,117
Martha Scott,P 64115,Drama,22-09-1912,118
Cornel Wilde,P116764,Adventure,13-10-1912,119
Loretta Young,P 78190,Drama,16-01-1913,120
John Garfield,P187968,Drama,04-03-1913,121
Anthony Quayle,P 58189,Drama,07-09-1913,122
Burt Lancaster,P 98588,Drama,02-11-1913,123
Gig Young,P 78166,Drama,04-11-1913,124
Vivien Leigh,P 41659,Drama,05-11-1913,125
Robert Strauss,P 68664,Comedy,08-11-1913,126
Harold Russell,P 62220,Drama,14-01-1914,127
John Ireland,P 95497,Drama,30-01-1914,128
Kevin McCarthy,P101959,Drama,15-02-1914,129
Arthur Kennedy,P 97175,Drama,17-02-1914,130
Alec Guinness,P 29203,Comedy,02-04-1914,131
Beatrice Straight,P 68592,Drama,02-08-1914,132
Andrea Leeds,P 41546,Drama,18-08-1914,133
Kay Medford,P 48176,Comedy,14-09-1914,134
Geraldine Fitzgerald,P 23694,Drama,24-11-1914,135
Larry Parks,P 55166,Musical,13-12-1914,136
Richard Widmark,P 76135,Drama,26-12-1914,137
Anthony Quinn,P107297,Drama,21-04-1915,138
Orson Welles,P116368,Drama,06-05-1915,139
Ingrid Bergman,P 5652,Drama,29-08-1915,140
Edmond O'Brien,P 53260,Drama,10-09-1915,141
Joyce Redman,P 59214,Drama,09-12-1915,142
Frank Sinatra,P111632,Music [nf],12-12-1915,143
Jackie Gleason,P 27204,Comedy,26-02-1916,144
Mercedes McCambridge,P 46916,Drama,16-03-1916,145
Gregory Peck,P 55747,Drama,05-04-1916,146
Dorothy McGuire,P 47552,Drama,14-06-1916,147
Olivia de Havilland,P 17765,Drama,01-07-1916,148
Peter Finch,P 23460,Drama,28-09-1916,149
Trevor Howard,P 33529,Drama,29-09-1916,150
Kirk Douglas,P 88133,Drama,09-12-1916,151
Jane Wyman,P 77721,Comedy,05-01-1917,152
Ernest Borgnine,P 7448,Drama,24-01-1917,153
Celeste Holm,P 32955,Comedy,29-04-1917,154
Robert Mitchum,P 49738,Drama,06-08-1917,155
Joan Fontaine,P 24127,Drama,22-10-1917,156
Dan Dailey,P 16585,Musical,14-12-1917,157
William Holden,P 32805,Drama,17-04-1918,158
Anne Shirley,P 65375,Drama,17-04-1918,159
Robert Preston,P 57736,Drama,08-06-1918,160
Ben Johnson,P 35776,Western,13-06-1918,161
Susan Hayward,P 31331,Drama,30-06-1918,162
Teresa Wright,P 77640,Drama,27-10-1918,163
Art Carney,P 11090,Comedy,04-11-1918,164
Jeff Chandler,P 12238,Drama,05-12-1918,165
Robert Stack,P 67453,Drama,13-01-1919,166
Red Buttons,P 9969,Drama,05-02-1919,167
Jack Palance,P 54755,Drama,18-02-1919,168
Jennifer Jones,P 36139,Drama,02-03-1919,169
Eileen Heckart,P 31473,Drama,29-03-1919,170
Dan O'Herlihy,P 53487,Drama,01-05-1919,171
Richard Todd,P114276,Drama,11-06-1919,172
Martin Balsam,P 3629,Drama,04-11-1919,173
Jo Van Fleet,P 23839,Drama,30-12-1919,174
Vincent Gardenia,P 25883,Comedy,07-01-1920,175
Peggy Lee,P 99164,Music [nf],26-05-1920,176
Yul Brynner,P 9264,Drama,11-07-1920,177
Beah Richards,P 60007,Drama,12-07-1920,178
Shelley Winters,P 77029,Drama,18-08-1920,179
Richard Farnsworth,P 22732,Drama,01-09-1920,180
Jack Warden,P 74681,Comedy,18-09-1920,181
Mickey Rooney,P108826,Comedy,23-09-1920,182
Walter Matthau,P 46456,Comedy,01-10-1920,183
Montgomery Clift,P 13682,Drama,17-10-1920,184
Gene Tierney,P 70970,Drama,19-11-1920,185
Joe Mantell,P 45199,Drama,21-12-1920,186
Donna Reed,P 59251,Drama,27-01-1921,187
Carol Channing,P 12301,Comedy,31-01-1921,188
Lana Turner,P 72175,Drama,08-02-1921,189
Simone Signoret,P 65603,Drama,25-03-1921,190
Nancy Kelly,P 97117,Drama,25-03-1921,191
Jan Sterling,P 68035,Drama,03-04-1921,192
Peter Ustinov,P114937,Comedy,16-04-1921,193
Judy Holliday,P 32908,Comedy,21-06-1921,194
Susan Peters,P 56305,Drama,03-07-1921,195
Deborah Kerr,P 37896,Drama,30-09-1921,196
James Whitmore,P 76027,Drama,01-10-1921,197
Paul Scofield,P 64000,Drama,21-01-1922,198
Margaret Leighton,P 41693,Drama,26-02-1922,199
Jack Kruschen,P 39495,Comedy,20-03-1922,200
Denholm Elliott,P 21589,Drama,31-05-1922,201
Judy Garland,P 25962,Musical,10-06-1922,202
Eleanor Parker,P 55087,Drama,26-06-1922,203
Jason Robards,P 35299,Drama,26-07-1922,204
Grayson Hall,P 1999412,,18-09-1922,205
Barbara Bel Geddes,P 5048,Drama,31-10-1922,206
Dorothy Dandridge,P 16799,Drama,09-11-1922,207
Kim Hunter,P 34023,Drama,12-11-1922,208
Oskar Werner,P 75563,Drama,13-11-1922,209
Ava Gardner,P 25893,Drama,24-12-1922,210
Bonita Granville,P 28270,Drama,02-02-1923,211
Dexter Gordon,P 92097,Music [nf],27-02-1923,212
Charles Durning,P 20780,Comedy,28-02-1923,213
Anne Baxter,P 4663,Drama,07-05-1923,214
Jean Hagen,P 29551,Drama,03-08-1923,215
Marcello Mastroianni,P 46339,Drama,28-09-1923,216
Glynis Johns,P 96142,Drama,05-10-1923,217
Melina Mercouri,P 48509,Drama,18-10-1923,218
Gloria Grahame,P 28125,Drama,28-11-1923,219
Betsy Blair,P 6520,Drama,11-12-1923,220
Ron Moody,P 50234,Comedy,08-01-1924,221
Katy Jurado,P 36544,Drama,16-01-1924,222
Telly Savalas,P109992,Drama,21-01-1924,223
Lee Marvin,P 46149,Drama,19-02-1924,224
Marlon Brando,P 8070,Drama,03-04-1924,225
Doris Day,P 17533,Comedy,03-04-1924,226
Nina Foch,P 24043,Drama,20-04-1924,227
Theodore Bikel,P 6169,Drama,02-05-1924,228
Peggy Cass,P 11618,Drama,21-05-1924,229
Eva Marie Saint,P 62641,Drama,04-07-1924,230
Martha Hyer,P 34234,Drama,10-08-1924,231
Lauren Bacall,P 3116,Drama,16-09-1924,232
Charlton Heston,P 94233,History [nf],04-10-1924,233
Ruby Dee,P 18243,Drama,27-10-1924,234
Geraldine Page,P 54660,Drama,22-11-1924,235
Valentina Cortese,P 15148,Drama,01-01-1925,236
Paul Newman,P104390,Drama,26-01-1925,237
Dorothy Malone,P 44892,Drama,30-01-1925,238
Jack Lemmon,P 99306,Comedy,08-02-1925,239
Kim Stanley,P 67600,Drama,11-02-1925,240
Hal Holbrook,P 32790,Drama,17-02-1925,241
George Kennedy,P 37705,Drama,18-02-1925,242
Rod Steiger,P 67882,Drama,14-04-1925,243
Colette Marchand,P 45323,Drama,29-04-1925,244
Jeanne Crain,P 15581,Drama,25-05-1925,245
Tony Curtis,P 86429,Drama,03-06-1925,246
Maureen Stapleton,P 67653,Drama,21-06-1925,247
Cara Williams,P 76395,Drama,29-06-1925,248
Peter Sellers,P 64447,Comedy,08-09-1925,249
Cliff Robertson,P108502,Drama,09-09-1925,250
Angela Lansbury,P 40519,Drama,16-10-1925,251
Richard Burton,P 83664,Drama,10-11-1925,252
Rock Hudson,P 33748,Drama,17-11-1925,253
Julie Harris,P212209,Drama,02-12-1925,254
Patricia Neal,P 52027,Drama,20-01-1926,255
Joan Lorring,P 43159,Drama,17-04-1926,256
Cloris Leachman,P 41211,Comedy,30-04-1926,257
Frank Finlay,P 23510,Drama,06-08-1926,258
Richard Jaeckel,P 34973,Drama,10-10-1926,259
Sidney Poitier,P106725,Drama,20-02-1927,260
Emmanuelle Riva,P 60411,Drama,24-02-1927,261
Janet Leigh,P 41670,Drama,06-07-1927,262
Robert Shaw,P111051,Drama,09-08-1927,263
Peter Falk,P 22575,Mystery,16-09-1927,264
Rachel Roberts,P 60655,Drama,20-09-1927,265
George C. Scott,P110557,Drama,18-10-1927,266
Lee Grant,P 92333,Drama,31-10-1927,267
Estelle Parsons,P 55233,Comedy,20-11-1927,268
Stuart Whitman,P 76023,Drama,01-02-1928,269
James Garner,P 25985,Drama,07-04-1928,270
Ian Bannen,P 3742,Drama,29-06-1928,271
Nancy Olson,P 54075,Drama,14-07-1928,272
Ann Blyth,P 6922,Drama,16-08-1928,273
James Coburn,P195536,Western,31-08-1928,274
William Hickey,P 32157,Comedy,19-09-1928,275
Laurence Harvey,P 93645,Drama,01-10-1928,276
Anthony Franciosa,P 24663,Drama,28-10-1928,277
Terry Moore,P103400,Drama,07-01-1929,278
Jean Simmons,P 65749,Drama,31-01-1929,279
Miyoshi Umeki,P 72422,Romance,03-04-1929,280
Nigel Hawthorne,P 31147,Drama,05-04-1929,281
Max von Sydow,P 69424,Drama,10-04-1929,282
Audrey Hepburn,P 31869,Comedy,04-05-1929,283
Vivien Merchant,P 48496,Drama,22-07-1929,284
Don Murray,P103863,Drama,31-07-1929,285
Fernanda Montenegro,P122586,Drama,16-10-1929,286
Joan Plowright,P 57101,Drama,28-10-1929,287
Grace Kelly,P 37518,Romance,12-11-1929,288
John Cassavetes,P 84410,Drama,09-12-1929,289
Christopher Plummer,P 57110,Drama,13-12-1929,290
Robert Loggia,P 42988,Drama,03-01-1930,291
Gene Hackman,P 29486,Drama,30-01-1930,292
Lynn Carlin,P 10953,Drama,31-01-1930,293
Joanne Woodward,P117305,Drama,27-02-1930,294
James Coco,P 13873,Comedy,21-03-1930,295
Steve McQueen,P 48038,Drama,24-03-1930,296
Carolyn Jones,P 36060,Drama,28-04-1930,297
Clint Eastwood,P 88601,Drama,31-05-1930,298
Gena Rowlands,P 61889,Drama,19-06-1930,299
Sean Connery,P 10646,Action,25-08-1930,300
Rosemary Harris,P 30676,Drama,19-09-1930,301
Richard Harris,P 93538,Drama,01-10-1930,302
Maximilian Schell,P110140,Drama,08-12-1930,303
Armin Mueller-Stahl,P 51163,Drama,17-12-1930,304
Robert Duvall,P 88530,Drama,05-01-1931,305
James Earl Jones,P 36131,Drama,17-01-1931,306
Rip Torn,P114388,Drama,06-02-1931,307
James Dean,P 18134,Drama,08-02-1931,308
Barbara Barrie,P 4184,Drama,23-05-1931,309
Carroll Baker,P 3377,Drama,28-05-1931,310
Olympia Dukakis,P 20452,Drama,20-06-1931,311
Martin Landau,P 40247,Spy Film,20-06-1931,312
Leslie Caron,P 11131,Drama,01-07-1931,313
Nick Adams,P 308,Drama,10-07-1931,314
Ian Holm,P 32962,Drama,12-09-1931,315
Anne Bancroft,P 80576,Drama,17-09-1931,316
Hope Lange,P 40445,Drama,28-11-1931,317
Rita Moreno,P 50535,Drama,11-12-1931,318
Piper Laurie,P 40813,Drama,22-01-1932,319
Elizabeth Taylor,P 70015,Drama,27-02-1932,320
Debbie Reynolds,P 59782,Comedy,01-04-1932,321
Anthony Perkins,P106120,Drama,04-04-1932,322
Omar Sharif,P 64847,Drama,10-04-1932,323
Joel Grey,P 28728,Drama,11-04-1932,324
Anouk Aimee,P 534,Drama,27-04-1932,325
Marisa Pavan,P 55534,Drama,19-06-1932,326
Noriyuki 'Pat' Morita,P 50707,Comedy,28-06-1932,327
Peter O'Toole,P 53681,Drama,02-08-1932,328
Eileen Brennan,P 8300,Comedy,03-09-1932,329
Sylvia Miles,P 49125,Comedy,09-09-1932,330
Roy Scheider,P 63580,Drama,10-11-1932,331
Robert Vaughn,P 73149,Action,22-11-1932,332
Ellen Burstyn,P 9777,Drama,07-12-1932,333
Mary Ure,P 72480,Drama,18-02-1933,334
Michael Caine,P 10198,Thriller,14-03-1933,335
Gene Wilder,P116771,Comedy,11-06-1933,336
Danny Aiello,P 421,Comedy,20-06-1933,337
Richard Castellano,P 11706,Crime,04-09-1933,338
Diane Cilento,P 13205,Drama,05-10-1933,339
Daniel Massey,P 46290,Drama,10-10-1933,340
Mako,P 44765,Action,10-12-1933,341
Cicely Tyson,P 72317,Drama,19-12-1933,342
George Segal,P 64316,Children's/Family,13-02-1934,343
Alan Bates,P 4517,Drama,17-02-1934,344
Joan Hackett,P 29476,Drama,01-03-1934,345
Alan Arkin,P 79913,Comedy,26-03-1934,346
Shirley Jones,P 36222,Comedy,31-03-1934,347
Shirley MacLaine,P 44255,Comedy,24-04-1934,348
Louise Fletcher,P 23906,Drama,22-07-1934,349
George Chakiris,P 12080,Drama,16-09-1934,350
Sophia Loren,P 43272,Comedy,20-09-1934,351
Michael Dunn,P 20627,Drama,20-10-1934,352
Judi Dench,P 18570,Children's/Family,09-12-1934,353
Maggie Smith,P 66495,Comedy,28-12-1934,354
Russ Tamblyn,P 69732,Comedy,30-12-1934,355
Seymour Cassel,P 11636,Drama,22-01-1935,356
Judd Hirsch,P 32513,Drama,15-03-1935,357
Dudley Moore,P103371,Comedy,19-04-1935,358
Diahann Carroll,P 11302,Drama,17-07-1935,359
Barbara Harris,P 30591,Comedy,25-07-1935,360
Topol,P 71360,Drama,09-09-1935,361
Julie Andrews,P 1721,Comedy,01-10-1935,362
Diane Ladd,P 39955,Drama,29-11-1935,363
Woody Allen,P 79388,Comedy,01-12-1935,364
Lee Remick,P 59559,Drama,14-12-1935,365
Alan Alda,P 79264,Comedy,28-01-1936,366
Burt Reynolds,P108069,Comedy,11-02-1936,367
Dean Stockwell,P 68385,Drama,05-03-1936,368
Norma Aleandro,P 775,Drama,02-05-1936,369
Glenda Jackson,P 34812,Drama,09-05-1936,370
Albert Finney,P 23545,Drama,09-05-1936,371
Bobby Darin,P 17011,Music [nf],14-05-1936,372
Dennis Hopper,P 94825,Drama,17-05-1936,373
"Louis Gossett, Jr.",P 27923,Drama,27-05-1936,374
Bruce Dern,P 18703,Drama,04-06-1936,375
Shirley Knight,P 38816,Drama,05-07-1936,376
Robert Redford,P107758,Drama,18-08-1936,377
Susan Kohner,P 38970,Drama,11-11-1936,378
Mary Tyler Moore,P 50344,Comedy,29-12-1936,379
Dyan Cannon,P 84025,Comedy,04-01-1937,380
Vanessa Redgrave,P 59206,Drama,30-01-1937,381
Tom Courtenay,P 15355,Drama,25-02-1937,382
Warren Beatty,P 81105,Comedy,30-03-1937,383
Jack Nicholson,P104455,Drama,22-04-1937,384
Sandy Dennis,P 18627,Drama,27-04-1937,385
Morgan Freeman,P 90514,Drama,01-06-1937,386
Sally Kellerman,P 37443,Comedy,02-06-1937,387
Ned Beatty,P 4810,Drama,06-07-1937,388
Dustin Hoffman,P 94585,Drama,08-08-1937,389
Jane Fonda,P 24098,Health & Fitness [nf],21-12-1937,390
Anthony Hopkins,P 94812,Drama,31-12-1937,391
Victor Buono,P 9520,Comedy,03-02-1938,392
Diane Varsi,P 73076,Drama,23-02-1938,393
Natalie Wood,P 77340,Drama,20-07-1938,394
Terence Stamp,P 67541,Drama,22-07-1938,395
Elliott Gould,P 27972,Comedy,29-08-1938,396
Leonard Frey,P 25060,Comedy,04-09-1938,397
Liv Ullmann,P114863,Drama,16-12-1938,398
Frederic Forrest,P 24332,Drama,23-12-1938,399
Jon Voight,P115561,Drama,29-12-1938,400
Susannah York,P 78084,Drama,09-01-1939,401
Sal Mineo,P 49470,Drama,10-01-1939,402
Janet Suzman,P 69238,Drama,09-02-1939,403
Samantha Eggar,P 21328,Drama,05-03-1939,404
Ali MacGraw,P 44193,Drama,01-04-1939,405
Jason Miller,P102867,Drama,22-04-1939,406
Harvey Keitel,P 37381,Drama,13-05-1939,407
Paul Winfield,P 76898,History [nf],22-05-1939,408
Ian McKellen,P 47684,Drama,25-05-1939,409
Michael J. Pollard,P 57242,Comedy,30-05-1939,410
Karen Black,P 82001,Drama,01-07-1939,411
Lily Tomlin,P114336,Comedy,01-09-1939,412
Jeannie Berlin,P 81584,Comedy,06-09-1939,413
Melinda Dillon,P 19211,Drama,13-10-1939,414
F. Murray Abraham,P 138,Drama,24-10-1939,415
Jane Alexander,P 831,Drama,28-10-1939,416
Brenda Vaccaro,P 72539,Drama,18-11-1939,417
Frank Langella,P 40453,Drama,01-01-1940,418
Margaret Avery,P 2955,Drama,20-01-1940,419
John Hurt,P 34099,Drama,22-01-1940,420
James Cromwell,P 15842,Drama,27-01-1940,421
Katharine Ross,P 61632,Drama,29-01-1940,422
Peter Fonda,P 90081,Drama,23-02-1940,423
Haing S. Ngor,P 52508,Drama,22-03-1940,424
James Caan,P 83766,Drama,26-03-1940,425
Al Pacino,P 54596,Drama,25-04-1940,426
Burt Young,P 78134,Drama,30-04-1940,427
Pauline Collins,P 14262,Drama,03-09-1940,428
Sam Waterston,P 74941,Drama,15-11-1940,429
Faye Dunaway,P 20518,Drama,14-01-1941,430
Nick Nolte,P 52916,Drama,08-02-1941,431
Julie Christie,P 13030,Drama,14-04-1941,432
Ryan O'Neal,P 53567,Comedy,20-04-1941,433
Ann-Margret,P 1846,Comedy,28-04-1941,434
Michael Lerner,P 41931,Comedy,22-06-1941,435
Robert Forster,P 90191,Drama,13-07-1941,436
Tom Conti,P 14627,Drama,22-11-1941,437
Sarah Miles,P 49123,Drama,31-12-1941,438
Marsha Mason,P 46247,Comedy,03-04-1942,439
Brandon De Wilde,P 87261,Drama,09-04-1942,440
Barbra Streisand,P112652,Music [nf],24-04-1942,441
Genevieve Bujold,P 9433,Drama,01-07-1942,442
Harrison Ford,P 24238,Drama,13-07-1942,443
Giancarlo Giannini,P 91430,Drama,13-07-1942,444
Chris Sarandon,P 63156,Drama,24-07-1942,445
Madeline Kahn,P 36650,Comedy,29-09-1942,446
Bob Hoskins,P 33185,Drama,26-10-1942,447
Joe Pesci,P 56237,Comedy,09-02-1943,448
Lynn Redgrave,P 59204,Drama,08-03-1943,449
Christopher Walken,P 74206,Comedy,31-03-1943,450
Klaus Maria Brandauer,P 82796,Drama,22-06-1943,451
Robert De Niro,P 17593,Drama,17-08-1943,452
Tuesday Weld,P 75377,Drama,27-08-1943,453
Valerie Perrine,P 56123,Drama,03-09-1943,454
Catherine Deneuve,P 18574,Drama,22-10-1943,455
Sam Shepard,P111142,Drama,05-11-1943,456
Elizabeth Hartman,P 30824,Drama,23-12-1943,457
Ben Kingsley,P 38383,Drama,31-12-1943,458
Stockard Channing,P 12304,Drama,13-02-1944,459
Marie-Christine Barrault,P 4133,Drama,21-03-1944,460
Diana Ross,P 61607,Music [nf],26-03-1944,461
Jill Clayburgh,P 13546,Drama,30-04-1944,462
Gary Busey,P 9844,Drama,29-06-1944,463
Michael Douglas,P 88134,Drama,25-09-1944,464
Sally Kirkland,P 38510,Drama,31-10-1944,465
Teri Garr,P 26007,Comedy,11-12-1944,466
Pete Postlethwaite,P 57436,Drama,07-02-1945,467
Brenda Fricker,P 25069,Drama,17-02-1945,468
Susan Tyrrell,P 72315,Drama,18-03-1945,469
Linda Hunt,P 33978,History [nf],02-04-1945,470
Helen Mirren,P 49576,Drama,26-07-1945,471
Patty McCormack,P 44128,Drama,21-08-1945,472
John Lithgow,P 42686,Drama,19-10-1945,473
Goldie Hawn,P 31138,Comedy,21-11-1945,474
Bette Midler,P102748,Comedy,01-12-1945,475
Diane Keaton,P 96996,Comedy,05-01-1946,476
Brenda Blethyn,P 6748,Drama,20-02-1946,477
Liza Minnelli,P 49495,Music [nf],12-03-1946,478
Talia Shire,P 65369,Drama,25-04-1946,479
Candice Bergen,P 5591,Comedy,09-05-1946,480
Cher,P 12664,Comedy,20-05-1946,481
Bruce Davison,P 17454,Drama,28-06-1946,482
Sylvester Stallone,P112464,Drama,06-07-1946,483
Lesley Ann Warren,P 74788,Drama,16-08-1946,484
Tommy Lee Jones,P 36238,Drama,15-09-1946,485
Susan Sarandon,P 63158,Drama,04-10-1946,486
Carrie Snodgress,P 66677,Drama,27-10-1946,487
Stephen Rea,P 59079,Drama,31-10-1946,488
Sally Field,P 89714,Comedy,06-11-1946,489
Patty Duke,P 2648,Drama,14-12-1946,490
Edward James Olmos,P105065,Drama,24-02-1947,491
Glenn Close,P 13725,Drama,19-03-1947,492
James Woods,P117297,Drama,18-04-1947,493
Richard Jenkins,P 35464,Drama,04-05-1947,494
Jacki Weaver,P 75131,Drama,25-05-1947,495
Sondra Locke,P100009,Drama,28-05-1947,496
Candy Clark,P 13342,Drama,20-06-1947,497
Albert Brooks,P 83146,Comedy,22-07-1947,498
Anne Archer,P 2102,Drama,25-08-1947,499
Kevin Kline,P 38699,Comedy,24-10-1947,500
Richard Dreyfuss,P 88268,Drama,29-10-1947,501
Mikhail Baryshnikov,P 80911,Dance [nf],27-01-1948,502
Barbara Hershey,P 32030,Drama,05-02-1948,503
Mercedes Ruehl,P 62063,Comedy,28-02-1948,504
Penelope Milford,P 49135,Drama,23-03-1948,505
Dianne Wiest,P 76163,Drama,28-03-1948,506
Lindsay Crouse,P 15941,Drama,12-05-1948,507
Kathy Bates,P 4516,Drama,28-06-1948,508
Jeremy Irons,P 34545,Drama,19-09-1948,509
Tom Wilkinson,P 76333,Drama,12-12-1948,510
Samuel L. Jackson,P 34866,Drama,21-12-1948,511
Gerard Depardieu,P 87517,Drama,27-12-1948,512
David Strathairn,P 68638,Drama,26-01-1949,513
Jessica Lange,P 40447,Drama,20-04-1949,514
Jim Broadbent,P 8575,Drama,24-05-1949,515
Tom Berenger,P 5539,Thriller,31-05-1949,516
Meryl Streep,P 68676,Drama,22-06-1949,517
Sigourney Weaver,P 75144,Comedy,08-10-1949,518
Jeff Bridges,P 3197,Drama,04-12-1949,519
Sissy Spacek,P 67043,Drama,25-12-1949,520
Julie Walters,P 74515,Drama,22-02-1950,521
William H. Macy,P 44480,Drama,13-03-1950,522
Brad Dourif,P 19921,Horror,18-03-1950,523
William Hurt,P 34104,Drama,20-03-1950,524
Christine Lahti,P 40020,Drama,04-04-1950,525
Tess Harper,P 30532,Drama,15-08-1950,526
Amy Madigan,P 44507,Drama,11-09-1950,527
