id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
72917,Jaroslav Mach,M,37,,,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",
97418,Edmund John Pueschel,M,21,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",
49768,Dora Honnywill (Neve-),F,37,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Archery,Archery Women's Double National Round,
63311,Jan Koutn,M,26,,,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rope Climbing,
81214,Englebert Mollin,M,,,,Belgium,BEL,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
26259,Louis Verrant Gabriel Le Bailly de la Falaise,M,42,,,France,FRA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
100458,Leslie George Rich,M,21,,,United States,USA,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
25585,Henry D. Davids,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",
66696,Lucien lie Larg (Barreau-),M,26,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Masters, Individual",
47952,Helmer Hermansen,M,29,,,Norway,NOR,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",
129248,Karl Magnus Wegelius,M,23,,,Finland,FIN,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
25610,Charles C. Davies,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 400 metres,
13249,tienne Bonnes,M,29,172,76,France,FRA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
2723,Gaston Jules Louis Antoine Alibert,M,22,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",
123217,Fridrihs Uksti,M,,,,Latvia,LAT,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
51315,Richard Hutton,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,Shooting Men's Trap,
133878,Ricardo Zamora Martnez,M,23,,,Spain,ESP,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
6144,Charles Avrillon,M,,,,France,FRA,1908 Summer,1908,Summer,London,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",
66748,Jos-Mara Larrabeiti Eguidazu,M,23,173,72,Spain,ESP,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,
63503,Stanisaw Bolesaw Kowalczewski,M,34,,,Poland,POL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",
115057,"Thophilus Gerardus ""Gerard"" Steurs",M,22,,,Belgium,BEL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Marathon,
99201,"John Joseph ""Joe"" Ravannack",M,26,,,Independent Rowing Club-3,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Double Sculls,Bronze
33350,"Fred Rudolph Etchen, Sr.",M,39,183,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",Gold
44725,"John Percival ""Percy"" Hagerman",M,22,176,,Canada,CAN,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Triple Jump,
87211,Riccardo Nowak,M,23,,,Italy,ITA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Team",
48256,Max Hess,M,26,165,71,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,
115954,Albert Stdemann,M,,,,Germany,GER,1908 Summer,1908,Summer,London,Hockey,Hockey Men's Hockey,
98018,Frank K. Raad,M,,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",
22877,Emma C. Cooke,F,55,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Women's Double Columbia Round,Silver
3493,Edward John Amoore,M,31,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",
101906,Otto Paul Roesner,M,22,,,"Socialer Turnverein, Detroit",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,
130434,Louis Eugne Edmond Wilhelme,M,23,,,France,FRA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Triple Jump,
128354,Gottlob Friedrich Walz,M,26,,,Germany,GER,1908 Summer,1908,Summer,London,Diving,Diving Men's Springboard,Bronze
3325,Santiago Amat Cansino,M,36,,,Amolgavar,ESP,1924 Summer,1924,Summer,Paris,Sailing,Sailing Mixed 6 metres,
85547,Sybil Fenton Newall,F,53,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Archery,Archery Women's Double National Round,Gold
106413,Ole Andreas Sther,M,38,,,Norway,NOR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
126142,Sotirios Versis,M,,,,Greece,GRE,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Shot Put,
121884,Tryfon Triantafyllakos,M,,,,Greece,GRE,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",
85860,George Nicol,M,21,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 400 metres,
68934,Mario Lertora,M,26,165,,Italy,ITA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Horse Vault,
55651,E. J. Jones,M,,,,Cornwall,GBR,1908 Summer,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
122748,Bertrand Turnbull,M,21,,,Wales-4,GBR,1908 Summer,1908,Summer,London,Hockey,Hockey Men's Hockey,Bronze
13725,Gerard Dagobert Henri Bosch van Drakestein,M,20,,,Netherlands,NED,1908 Summer,1908,Summer,London,Cycling,Cycling Men's 100 kilometres,
120119,"Benjamin Leonard ""Ben"" Thrash",M,26,175,,United States,USA,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Plain High,
130983,Jerry Elmer Winholtz,M,29,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Lightweight, Freestyle",
53528,Benjamin Jamieson,M,30,,75,Winnipeg Shamrocks-1,CAN,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Gold
129432,Ottokar Weise,M,,,,Aschenbrodel,GER,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed Open,Silver
126443,"Maria ""Rie"" Vierdag (-Smit)",F,18,170,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 400 metres Freestyle,
66966,August Lass,M,20,177,71,Estonia,EST,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
125020,Albertson Van Zo Post,M,37,183,,United States,USA,1904 Summer,1904,Summer,St. Louis,Fencing,"Fencing Men's Foil, Team",Gold
129495,John Weldon,M,33,,,Ireland,IRL,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Literature,
48394,Henry Hiatt,M,,,,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,
115209,"Stuart Grosvenor ""Stu"" Stickney",M,27,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,
2829,Richard Louis Pierre Allemane,M,18,,,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Silver
10514,Gustaf Eugen Bergman,M,26,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Featherweight,
29107,"Hugh Lawrence ""Laurie"" Doherty",M,24,178,,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,Gold
49580,Martin Drummond Vesey Holt,M,43,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",
127393,Herbert von Petersdorff,M,19,,,Germany,GER,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,
124979,Eduardus Ludovicus van Voorst tot Voorst,M,33,,,Netherlands,NED,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Trap, Team",
76076,Claude-Lon Mascaux,M,41,,,France,FRA,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Sculpturing,Bronze
56960,Nikolaos Kaloudis,M,,,,Greece,GRE,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,
27905,Christian Jacob Deubler,M,23,,,Germany,GER,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,
119446,Louis Ren Texier,M,41,,,France,FRA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",
75884,Antnio Augusto da Silva Martins,M,32,,,Portugal,POR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Discus Throw,
33484,"Richmond Cavill ""Dick"" Eve",M,23,168,,Australia,AUS,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Springboard,
125020,Albertson Van Zo Post,M,37,183,,United States,USA,1904 Summer,1904,Summer,St. Louis,Fencing,"Fencing Men's Foil, Individual",Silver
49855,Thomas Hopkins,M,,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Side Horse,
129575,"Jean Welter, Sr.",M,23,,,Luxembourg,LUX,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Light-Heavyweight,
50023,Marcel Horsch,M,,,74,Belgium,BEL,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Middleweight,
7426,George A. Bamber,M,,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Painting,
77749,Burt Plumb McKinnie,M,25,,,Trans-Mississippi Golf Association-2,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Silver
68934,Mario Lertora,M,26,165,,Italy,ITA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Pommelled Horse,
13447,Claes Arne Borg,M,22,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
42295,William Evans Graham,M,22,,,Ireland-2,GBR,1908 Summer,1908,Summer,London,Hockey,Hockey Men's Hockey,Silver
74446,Jean-Baptiste Manhs,M,27,183,79,France,FRA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Marathon,
46989,Lacey Earnest Hearn,M,23,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 1,500 metres",Bronze
17070,Bror Erik Bylhn,M,26,172,61,Sweden,SWE,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres,
55942,Jhannes Jsefsson (- Borg),M,24,174,,Iceland,ISL,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
3365,Ernesto Ambrosini,M,29,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 3,000 metres Steeplechase",
113507,Koloman Sovi,M,24,,,Yugoslavia,YUG,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",
116147,Josef Sucharda,M,41,,,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Double Shot",
42822,John William Grieb,M,24,175,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,
70715,Martti Johannes Liuttula,M,30,,,Finland,FIN,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Single Shot",
77408,Edward D'Arcy McCrea,M,28,,,Ireland,IRL,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Singles,
123302,Charles Umbs,M,28,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",
11132,Emil Beyer,M,27,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",
10530,Sidney Bergmann,M,,,,Austria,AUT,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
119590,Alexandros Theofilakis,M,,,,Greece,GRE,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Pistol, 50 yards",
14719,Rene Brasseur,F,21,,,Luxembourg,LUX,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Backstroke,
115606,"Andrew John ""Andy"" Straden",M,26,,,United States,USA,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
30187,Andr du Bosch,M,,,,Belgium,BEL,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's Sabre, Team",
47254,John C. Hein,M,18,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
3818,Gerald C. Anderson,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Cycling,Cycling Men's Sprint,
38835,Otto Garnus,M,,,,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Shot Put,
87390,Paavo Johannes Nurmi,M,26,174,65,Finland,FIN,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Gold
130936,Walter Winans,M,56,,,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",
37932,Paul Gailly,M,29,,,Belgium,BEL,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Silver
88943,Oscar G. Olson,M,,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",
41722,Harold Goodworth,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Diving,Diving Men's Platform,
120786,Pierre Tolar,M,,,,Luxembourg,LUX,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Side Horse,
92116,John Neil Patterson,M,22,,,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's High Jump,
55169,Oskar Emil Johansson,M,23,,,Sweden,SWE,1908 Summer,1908,Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,
112278,Herbert Smith,M,30,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Football,Football Men's Football,Gold
129828,Edvard Vilhelm Westerlund,M,23,174,77.5,Finland,FIN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
92249,Georges Marie Nestor Pauwels,M,20,,,Belgium-1,BEL,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,
24838,Edward Martin Dahl,M,21,,,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 800 metres,
30732,A. Duponcheel,M,,,,France,FRA,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,
12323,"Teodor ""Tore"" Blom",M,20,,,Sweden,SWE,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Long Jump,
129642,Charles Sven Otto Wennergren,M,35,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Singles,
120168,Georges Thurnherr,M,22,175,66,France,FRA,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,
25911,Jan Danil Hendrik de Beaufort,M,27,,,Netherlands,NED,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
115967,Theodore Frederick Ted Studier,M,22,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",
108863,Giacomo Serra,M,,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",
12814,Erik Viktor Bohlin,M,26,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Team",Bronze
70330,Alois F. Linka,M,25,172,62,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,
40972,A. Godinat,M,,,,France,FRA,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Literature,
27423,mile Joseph Demangel,M,25,173,64,France,FRA,1908 Summer,1908,Summer,London,Cycling,Cycling Men's Sprint,Silver
66754,Roberto Larraz,M,25,168,,Argentina,ARG,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Team",
4404,Johan August Anker,M,36,,,Fram,NOR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 8 metres,
86143,"Isidor Gadar ""Jack"" Niflot",M,23,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
31220,Ernest Walter Ebbage,M,34,,,K Division Metropolitan Police Team-3,GBR,1908 Summer,1908,Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
134205,Juozas ebrauskas,M,19,,,Lithuania,LTU,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
53253,Victor Jacquemin,M,16,,,Belgium,BEL,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,
13073,Simon Bon,M,20,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,
22085,"Robert ""Bobby"" Cloughen",M,19,179,76,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 200 metres,Silver
43186,Theodore Gross,M,24,,,"Turnverein Vorwrts, Chicago",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,
54686,"Marion Hall Jessup (Zinderstein-, -MacLure)",F,27,163,,United States,USA,1924 Summer,1924,Summer,Paris,Tennis,Tennis Women's Singles,
93221,Giulia Perelli,F,,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Tennis,Tennis Women's Singles,
107550,George Schroeder,M,,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",
25685,Gladys Mary Davis,F,30,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Women's Foil, Individual",Silver
26974,Peter Deer,M,25,,,Canada,CAN,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 1,500 metres",
66681,Allan Edward Lard,M,37,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,
51135,Marcus Latimer Hurley,M,20,181,,United States,USA,1904 Summer,1904,Summer,St. Louis,Cycling,Cycling Men's 5 mile,
116681,Henri Lon Victor Susse,M,55,,,Favorite-17,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed Open,
88281,Per Erik Fabian Ohlsson,M,23,173,,Sweden,SWE,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",
26055,Maurice Henri mile de Conninck,M,26,,,France,FRA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 3,000 metres Steeplechase",
50961,Jules Guillaume Hulsmans,M,25,,,Belgium,BEL,1924 Summer,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,
121142,Rasmus Aage Ejnar Torgensen,M,24,,,Denmark,DEN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Featherweight, Freestyle",
58305,Jzef Ignacy Kaua,M,28,164,66,Poland,POL,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
17975,James Cantion,M,,,,Moseley Wanderers,GBR,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
81433,Edwin Herbert Montague,M,23,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 400 metres,
75956,Charles Louis Marty,M,34,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Masters, Individual",
39588,Ioannis Georgiadis,M,48,,,Greece,GRE,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Individual",
16538,"Thomas William ""Bill"" Burgess",M,27,185,95,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Swimming,"Swimming Men's 1,000 metres Freestyle",
48898,Stane Hlastan,M,,,,Yugoslavia,YUG,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rope Climbing,
93893,Peter Geltzer Petersen,M,31,,,Denmark,DEN,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",
82090,David Victor Moriaud,M,23,,,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,
41856,John Marshall Gorham,M,54,,,Quicksilver-2,GBR,1908 Summer,1908,Summer,London,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),
24613,Arthur Ernest D'Anvers,M,25,,,Belgium,BEL,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,
84580,Jos Nasazzi Yarza,M,22,182,85,Uruguay,URU,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Gold
26841,Frederick Dean,M,27,,,Cornwall,GBR,1908 Summer,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
103259,"Joseph Aloysius ""Joe"" Ruddy, Sr.",M,25,,,New York Athletic Club #1-1,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,Gold
112963,"John Charles ""Barney"" Solomon",M,25,,,Cornwall,GBR,1908 Summer,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
78779,Menso Johannes Menso,M,21,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres,
125353,Simion Vartolomeu,M,32,,,Romania,ROU,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",
86044,Svend Aage Thorvald Michael Nielsen,M,31,,,Denmark,DEN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Middleweight, Freestyle",
119794,"Albert Henry ""Harry"" Thomas",M,19,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Boxing,Boxing Men's Bantamweight,Gold
76245,Cencio Massola,M,,,,Mebi,ITA,1924 Summer,1924,Summer,Paris,Sailing,Sailing Mixed 6 metres,
72100,Erich Ludwig,M,,,,Frankfurt Club,GER,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
76221,Gustave Florent Marie Masselin,M,33,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Foil, Masters, Individual",
76928,Ernest Edmund Bedford May,M,29,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Hammer Throw,
111741,Antonn Skopov,M,,,,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
94393,Alexandre Emmanuel Pharamond,M,23,164,70,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
96484,Clarkson Potter,M,23,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,
27126,Jorge del Mazo,M,,,,Argentina,ARG,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
70216,"Adolf ""Atte"" Lindqvist (-Launos)",M,29,,,Finland,FIN,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Springboard,
8875,Honor Jean Bayard,M,26,173,78,France,FRA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
49855,Thomas Hopkins,M,,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Horizontal Bar,
75384,"Edward ""Ed"" Marsh",M,26,,,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
4285,Andr Angelini,M,,,,France,FRA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",
44221,Jean Gutweniger,M,31,,,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,Bronze
95402,Clarence Bitters Platt,M,50,,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",Gold
82362,William Morton,M,27,,,Canada,CAN,1908 Summer,1908,Summer,London,Cycling,Cycling Men's Sprint,
109597,Martin Joseph Sheridan,M,27,190,88,United States,USA,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's Discus Throw, Greek Style",Gold
6212,Albert Louis Flix Ayat,M,17,175,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Masters, Individual",
68714,Julius Lenhart,M,28,168,,"Philadelphia Turngemeinde, Philadelphia",AUT,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,Gold
26559,Hlne de Pourtals (Barbey-),F,32,,,Lerina,SUI,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed Open,
